material1,material2,pred_temp,weights
O0.333+,O2-,[55.17660771],[0.85726532 0.14273468]
Cl2+,F1-,[55.1631266],[0.33333333 0.66666667]
O2+,O2-,[55.14127776],[0.5 0.5]
H1+,F1-,[55.12985459],[0.5 0.5]
O0.5+,O2-,[55.12247606],[0.8 0.2]
O2+,O0.5-,[55.12247606],[0.2 0.8]
N2+,N3-,[55.11518588],[0.6 0.4]
N3+,N2-,[55.11518588],[0.4 0.6]
Cl5+,F1-,[55.10761743],[0.16666667 0.83333333]
Cu2+,F1-,[55.0427799],[0.33333333 0.66666667]
Cl3+,F1-,[54.92486838],[0.25 0.75]
N2+,N2-,[54.92447626],[0.5 0.5]
N1+,N1-,[54.90094685],[0.5 0.5]
N1+,N2-,[54.90094685],[0.66666667 0.33333333]
N2+,N1-,[54.90094685],[0.33333333 0.66666667]
B2+,F1-,[54.86173925],[0.33333333 0.66666667]
N1+,N3-,[54.85655624],[0.75 0.25]
N3+,N1-,[54.85655624],[0.25 0.75]
S3+,F1-,[54.8515073],[0.25 0.75]
Cl6+,F1-,[54.82332171],[0.14285714 0.85714286]
N1+,F1-,[54.7531789],[0.5 0.5]
Cl3+,H1-,[54.66955988],[0.25 0.75]
C4+,F1-,[54.65027511],[0.2 0.8]
Cl7+,F1-,[54.64618188],[0.125 0.875]
Ag2+,Cl1-,[54.58010714],[0.33333333 0.66666667]
Cl2+,O0.333-,[54.5337035],[0.14273468 0.85726532]
Cl3+,O0.5-,[54.51269509],[0.14285714 0.85714286]
Cl1+,O0.333-,[54.39754734],[0.24981245 0.75018755]
O0.333+,Cl1-,[54.39754734],[0.75018755 0.24981245]
Cl2+,O0.5-,[54.21643809],[0.2 0.8]
Cl1+,O0.5-,[54.08134053],[0.33333333 0.66666667]
O0.5+,Cl1-,[54.08134053],[0.66666667 0.33333333]
Cl2+,O1-,[54.08134053],[0.33333333 0.66666667]
Cl7+,O2-,[54.01025495],[0.22222222 0.77777778]
Br3+,O0.5-,[53.95771718],[0.14285714 0.85714286]
Cl3+,O1-,[53.89929924],[0.25 0.75]
Cl4+,H1-,[53.89661398],[0.2 0.8]
Cl5+,O1-,[53.88715008],[0.16666667 0.83333333]
N5+,H1-,[53.88155557],[0.16666667 0.83333333]
Cl6+,O2-,[53.78176485],[0.25 0.75]
Cl6+,O1-,[53.76189638],[0.14285714 0.85714286]
Cl4+,O1-,[53.74803593],[0.2 0.8]
Cl5+,O2-,[53.57206234],[0.28571429 0.71428571]
Br5+,O1-,[53.36339345],[0.16666667 0.83333333]
Cl4+,O2-,[53.33343607],[0.33333333 0.66666667]
H1+,O1-,[53.25223995],[0.5 0.5]
O1+,H1-,[53.25223995],[0.5 0.5]
Cl7+,O1-,[53.25160145],[0.125 0.875]
Br1+,O0.333-,[53.22711454],[0.24981245 0.75018755]
O0.333+,Br1-,[53.22711454],[0.75018755 0.24981245]
O1+,C1-,[53.22640317],[0.5 0.5]
O2+,C2-,[53.22640317],[0.5 0.5]
C2+,O2-,[53.22640317],[0.5 0.5]
C1+,O1-,[53.22640317],[0.5 0.5]
Br4+,O1-,[53.15554881],[0.2 0.8]
C3+,F1-,[53.11217832],[0.25 0.75]
N2+,H1-,[53.06606537],[0.33333333 0.66666667]
H1+,N2-,[53.06606537],[0.66666667 0.33333333]
N3+,H1-,[53.01193372],[0.25 0.75]
