material1,material2,pred_temp,weights
Ag1+,Pu4+,[23.22939546],[0.25 0.75]
K1+,Ti4+,[19.95700539],[0.25 0.75]
Sc3+,V5+,[19.77910134],[0.25 0.75]
Cs1+,Fr1+,[19.7571349],[0.25 0.75]
Cs1+,Er3+,[19.69907419],[0.25 0.75]
K1+,Ca2+,[19.62828588],[0.25 0.75]
Cs1+,Ho3+,[19.55752716],[0.25 0.75]
Ba2+,Pr3+,[19.54132942],[0.25 0.75]
Cs1+,Ba2+,[19.53224643],[0.25 0.75]
K1+,Er3+,[19.5089933],[0.25 0.75]
Cs1+,Tm3+,[19.50285399],[0.25 0.75]
Ba2+,Ce4+,[19.47295172],[0.25 0.75]
Fr1+,Ra2+,[19.44258501],[0.25 0.75]
Sr2+,Ce4+,[19.44190539],[0.25 0.75]
K1+,Ni2+,[19.42825817],[0.25 0.75]
Cs1+,Dy3+,[19.40127283],[0.25 0.75]
Cs1+,Tb3+,[19.37643489],[0.25 0.75]
Cs1+,Gd3+,[19.37633092],[0.25 0.75]
Y3+,Zr4+,[19.3756078],[0.25 0.75]
Sc3+,Mn4+,[19.36813562],[0.25 0.75]
Cs1+,Eu3+,[19.33941015],[0.25 0.75]
Ti4+,V5+,[19.33707301],[0.25 0.75]
Ba2+,La3+,[19.2956923],[0.25 0.75]
Ag1+,U6+,[19.26813054],[0.25 0.75]
Sc3+,Ti4+,[19.26298443],[0.25 0.75]
Ba2+,Nd3+,[19.25560542],[0.25 0.75]
Rb1+,Ba2+,[19.24744937],[0.25 0.75]
Rb1+,Zr4+,[19.20831326],[0.25 0.75]
Ca2+,Sc3+,[19.20685932],[0.25 0.75]
Sc3+,Zn2+,[19.18885184],[0.25 0.75]
Na1+,Ti4+,[19.18468241],[0.25 0.75]
Ba2+,Pm3+,[19.16485646],[0.25 0.75]
Cs1+,Ce4+,[19.15580773],[0.25 0.75]
Ba2+,Sm3+,[19.15557395],[0.25 0.75]
Mg2+,Po4+,[19.11940267],[0.25 0.75]
K1+,Mo6+,[19.06134691],[0.25 0.75]
Sc3+,Cr3+,[19.06001942],[0.25 0.75]
Na1+,Po4+,[19.05455553],[0.25 0.75]
Ba2+,Eu3+,[19.022649],[0.25 0.75]
Sr2+,Nb5+,[19.0138956],[0.25 0.75]
Rb1+,Sr2+,[18.99469858],[0.25 0.75]
Cs1+,La3+,[18.98488795],[0.25 0.75]
K1+,Cu2+,[18.97032013],[0.25 0.75]
Na1+,Mo6+,[18.96458522],[0.25 0.75]
K1+,Zr4+,[18.95355434],[0.25 0.75]
Rb1+,Er3+,[18.94555785],[0.25 0.75]
Ba2+,Ra2+,[18.93161618],[0.25 0.75]
K1+,Ho3+,[18.92344456],[0.25 0.75]
K1+,Sc3+,[18.92191341],[0.25 0.75]
Li1+,Po4+,[18.89061714],[0.25 0.75]
Sr2+,La3+,[18.88576909],[0.25 0.75]
K1+,Sr2+,[18.8791657],[0.25 0.75]
Rb1+,Ho3+,[18.87266796],[0.25 0.75]
K1+,Ra2+,[18.87245884],[0.25 0.75]
K1+,Cr3+,[18.8423504],[0.25 0.75]
K1+,Y3+,[18.83744458],[0.25 0.75]
Sc3+,Ce4+,[18.8295458],[0.25 0.75]
Rb1+,Y3+,[18.79046449],[0.25 0.75]
K1+,V5+,[18.76727271],[0.25 0.75]
K1+,Po4+,[18.75784631],[0.25 0.75]
Rb1+,Tm3+,[18.73147727],[0.25 0.75]
Eu3+,Ra2+,[18.70288661],[0.25 0.75]
K1+,Lu3+,[18.70213968],[0.25 0.75]
Rb1+,Nb5+,[18.70017208],[0.25 0.75]
Y3+,Ce4+,[18.68352493],[0.25 0.75]
K1+,Mn4+,[18.66421358],[0.25 0.75]
K1+,Fe3+,[18.62861246],[0.25 0.75]
Cs1+,Pr3+,[18.60791252],[0.25 0.75]
Rb1+,Po4+,[18.58377654],[0.25 0.75]
K1+,Bi3+,[18.57395419],[0.25 0.75]
Na1+,Cu2+,[18.55536417],[0.25 0.75]
Cs1+,Pm3+,[18.54849143],[0.25 0.75]
K1+,Co3+,[18.54820053],[0.25 0.75]
Sr2+,Pm3+,[18.53735296],[0.25 0.75]
K1+,Tm3+,[18.53705992],[0.25 0.75]
Cs1+,Sm3+,[18.53601117],[0.25 0.75]
Na1+,Bi3+,[18.52880481],[0.25 0.75]
Na1+,Ni2+,[18.494931],[0.25 0.75]
Mg2+,Al3+,[18.47741311],[0.25 0.75]
Y3+,La3+,[18.45557977],[0.25 0.75]
Na1+,Ac3+,[18.45554669],[0.25 0.75]
Li1+,Cr3+,[18.45025275],[0.25 0.75]
Sr2+,Y3+,[18.4414271],[0.25 0.75]
Sc3+,In3+,[18.41980613],[0.25 0.75]
Sr2+,Zr4+,[18.40146555],[0.25 0.75]
Na1+,Sc3+,[18.36552478],[0.25 0.75]
Ba2+,Yb3+,[18.33350272],[0.25 0.75]
Rb1+,Sn4+,[18.32680601],[0.25 0.75]
Sr2+,In3+,[18.31546122],[0.25 0.75]
Na1+,Zn2+,[18.27983557],[0.25 0.75]
K1+,Ac3+,[18.24758308],[0.25 0.75]
Rb1+,Dy3+,[18.24159756],[0.25 0.75]
Sr2+,Nd3+,[18.24135977],[0.25 0.75]
Ca2+,V5+,[18.23483109],[0.25 0.75]
Li1+,Al3+,[18.23401531],[0.25 0.75]
Rb1+,Tb3+,[18.23110604],[0.25 0.75]
Na1+,Co3+,[18.22997159],[0.25 0.75]
Cs1+,Nd3+,[18.22910639],[0.25 0.75]
Na1+,Mg2+,[18.22129425],[0.25 0.75]
K1+,Dy3+,[18.21484417],[0.25 0.75]
Na1+,Fe3+,[18.19042866],[0.25 0.75]
Li1+,Ag1+,[18.18837575],[0.25 0.75]
Sc3+,Fe3+,[18.1853431],[0.25 0.75]
Cs1+,Ra2+,[18.18467835],[0.25 0.75]
K1+,Nb5+,[18.18353795],[0.25 0.75]
Sc3+,Sn4+,[18.15191946],[0.25 0.75]
Ca2+,Zn2+,[18.14745683],[0.25 0.75]
Ag1+,Np5+,[18.10727555],[0.25 0.75]
K1+,Zn2+,[18.10204503],[0.25 0.75]
K1+,Eu3+,[18.07622397],[0.25 0.75]
Mg2+,Cu2+,[18.0363926],[0.25 0.75]
Na1+,Cr3+,[18.02437609],[0.25 0.75]
Ca2+,Ni2+,[18.01245405],[0.25 0.75]
K1+,Sn4+,[17.98794044],[0.25 0.75]
Rb1+,Cd2+,[17.98413666],[0.25 0.75]
Cs1+,Yb3+,[17.97825865],[0.25 0.75]
Ca2+,Cu2+,[17.9637971],[0.25 0.75]
Rb1+,Ra2+,[17.93294472],[0.25 0.75]
Na1+,Mn4+,[17.92960861],[0.25 0.75]
Rb1+,Eu3+,[17.92509184],[0.25 0.75]
Ca2+,Co3+,[17.90476777],[0.25 0.75]
Rb1+,In3+,[17.89353834],[0.25 0.75]
Sr2+,Ra2+,[17.88532036],[0.25 0.75]
Na1+,V5+,[17.88480552],[0.25 0.75]
Rb1+,Gd3+,[17.84528684],[0.25 0.75]
Rb1+,La3+,[17.82818399],[0.25 0.75]
K1+,Tb3+,[17.8236731],[0.25 0.75]
Li1+,Bi3+,[17.81869963],[0.25 0.75]
Ca2+,Cr3+,[17.81779292],[0.25 0.75]
Ca2+,Cd2+,[17.81711136],[0.25 0.75]
Li1+,Mn4+,[17.79345755],[0.25 0.75]
Ca2+,Mn4+,[17.76759707],[0.25 0.75]
K1+,Cd2+,[17.75977963],[0.25 0.75]
Sr2+,Sn4+,[17.75292749],[0.25 0.75]
Li1+,Zn2+,[17.74572234],[0.25 0.75]
K1+,Gd3+,[17.73825132],[0.25 0.75]
Ca2+,Po4+,[17.73813707],[0.25 0.75]
K1+,Yb3+,[17.72676066],[0.25 0.75]
Ca2+,Fe3+,[17.7168914],[0.25 0.75]
K1+,Nd3+,[17.69416183],[0.25 0.75]
Na1+,Cd2+,[17.68648557],[0.25 0.75]
Na1+,Sn4+,[17.64098459],[0.25 0.75]
K1+,Pm3+,[17.63047772],[0.25 0.75]
Na1+,La3+,[17.62891455],[0.25 0.75]
Li1+,Cu2+,[17.6208224],[0.25 0.75]
Li1+,Co3+,[17.5950633],[0.25 0.75]
Rb1+,Sm3+,[17.59120667],[0.25 0.75]
