material1,material2,material3,pred_temp,weights
Al3+,Sr2+,Fr1+,[48.15959662],[0.5  0.25 0.25]
Be2+,Cs1+,Fr1+,[45.3918228],[0.5  0.25 0.25]
Al3+,Sc3+,Fr1+,[43.24374733],[0.5  0.25 0.25]
Be2+,Sr2+,Fr1+,[41.65120194],[0.5  0.25 0.25]
Ca2+,Sr2+,Fr1+,[39.76644658],[0.5  0.25 0.25]
Al3+,Ba2+,Fr1+,[39.50632908],[0.5  0.25 0.25]
Be2+,Ca2+,Fr1+,[39.16069898],[0.5  0.25 0.25]
Be2+,Mg2+,Cs1+,[39.15540843],[0.5  0.25 0.25]
Ag1+,Sb3+,Cs1+,[39.06811403],[0.5  0.25 0.25]
Mg2+,Sr2+,Fr1+,[39.0204518],[0.5  0.25 0.25]
Be2+,Rb1+,Fr1+,[38.60645128],[0.5  0.25 0.25]
Ag1+,Te2+,Cs1+,[38.55646077],[0.5  0.25 0.25]
Be2+,Mg2+,Fr1+,[38.34231892],[0.5  0.25 0.25]
Mg2+,Cs1+,Fr1+,[38.29667425],[0.5  0.25 0.25]
Be2+,Ca2+,Cs1+,[37.50923671],[0.5  0.25 0.25]
Mg2+,Sc3+,Fr1+,[36.93307239],[0.5  0.25 0.25]
Ca2+,Cs1+,Fr1+,[36.91734241],[0.5  0.25 0.25]
Mg2+,Al3+,Fr1+,[36.69302982],[0.5  0.25 0.25]
Al3+,Cs1+,Fr1+,[36.57145218],[0.5  0.25 0.25]
Be2+,Al3+,Fr1+,[36.34875793],[0.5  0.25 0.25]
Be2+,Ba2+,Fr1+,[36.12869261],[0.5  0.25 0.25]
Be2+,Rb1+,Cs1+,[35.84368643],[0.5  0.25 0.25]
Be2+,Sr2+,Cs1+,[34.50272567],[0.5  0.25 0.25]
Cu2+,Ag1+,U6+,[34.18627408],[0.5  0.25 0.25]
Be2+,Sc3+,Fr1+,[33.45880552],[0.5  0.25 0.25]
Mg2+,Ca2+,Fr1+,[33.33619611],[0.5  0.25 0.25]
Be2+,Al3+,Cs1+,[33.08186691],[0.5  0.25 0.25]
Li1+,Al3+,Hg1+,[32.96941231],[0.5  0.25 0.25]
