material1,material2,pred_temp,weights
Ag1+,U6+,[24.95359123],[0.75 0.25]
Ag1+,Pu4+,[24.22651995],[0.75 0.25]
Li1+,K1+,[22.66258301],[0.75 0.25]
Ca2+,Cs1+,[21.80018121],[0.75 0.25]
Al3+,Nb5+,[21.40409277],[0.75 0.25]
Ag1+,Np5+,[21.38042677],[0.75 0.25]
Ca2+,Fr1+,[21.31085957],[0.75 0.25]
Mg2+,Fr1+,[21.21580785],[0.75 0.25]
Ca2+,Rb1+,[21.11945059],[0.75 0.25]
Ti4+,Cs1+,[20.67484984],[0.75 0.25]
Rb1+,Fr1+,[20.61301275],[0.75 0.25]
Sc3+,Rb1+,[20.55221933],[0.75 0.25]
Li1+,Ca2+,[20.54529106],[0.75 0.25]
K1+,Fr1+,[20.49563951],[0.75 0.25]
Li1+,Al3+,[20.48820375],[0.75 0.25]
Sc3+,Ag1+,[20.48454927],[0.75 0.25]
Be2+,Ra2+,[20.4589432],[0.75 0.25]
Al3+,In3+,[20.44324589],[0.75 0.25]
K1+,Cs1+,[20.43347274],[0.75 0.25]
Na1+,Ra2+,[20.42787419],[0.75 0.25]
Sc3+,Fr1+,[20.39920629],[0.75 0.25]
Ti4+,Rb1+,[20.3638768],[0.75 0.25]
Al3+,Zn2+,[20.34882507],[0.75 0.25]
Be2+,Ti4+,[20.26206413],[0.75 0.25]
Rb1+,Cs1+,[20.2516169],[0.75 0.25]
Ca2+,Sr2+,[20.22678321],[0.75 0.25]
Na1+,Fr1+,[20.20421055],[0.75 0.25]
Sc3+,Cs1+,[20.1908653],[0.75 0.25]
K1+,Ba2+,[20.17093521],[0.75 0.25]
Be2+,V5+,[20.17039704],[0.75 0.25]
Mg2+,Rb1+,[20.16230715],[0.75 0.25]
Sc3+,Y3+,[20.09933206],[0.75 0.25]
Sr2+,Fr1+,[20.07088004],[0.75 0.25]
Sr2+,Cs1+,[20.02675313],[0.75 0.25]
Mn4+,Ba2+,[20.01371451],[0.75 0.25]
Sc3+,Ra2+,[19.97894494],[0.75 0.25]
K1+,Rb1+,[19.97790554],[0.75 0.25]
Al3+,Sn4+,[19.96000717],[0.75 0.25]
Ba2+,Fr1+,[19.95422868],[0.75 0.25]
Na1+,Sr2+,[19.92587652],[0.75 0.25]
Sc3+,Zr4+,[19.92576199],[0.75 0.25]
Be2+,In3+,[19.92079705],[0.75 0.25]
Mn4+,Cs1+,[19.91753442],[0.75 0.25]
Y3+,Cs1+,[19.87887685],[0.75 0.25]
Zr4+,Cs1+,[19.8312314],[0.75 0.25]
Li1+,Er3+,[19.76367756],[0.75 0.25]
Li1+,Cs1+,[19.74865961],[0.75 0.25]
Ca2+,Ba2+,[19.73848731],[0.75 0.25]
Zn2+,Ba2+,[19.69555377],[0.75 0.25]
Ce4+,Fr1+,[19.68097141],[0.75 0.25]
V5+,Sr2+,[19.67917412],[0.75 0.25]
Ni2+,Rb1+,[19.67175728],[0.75 0.25]
Mn4+,Fr1+,[19.64974662],[0.75 0.25]
Y3+,Fr1+,[19.63299575],[0.75 0.25]
Na1+,K1+,[19.63177193],[0.75 0.25]
Ti4+,Ce4+,[19.62232244],[0.75 0.25]
Be2+,Sc3+,[19.61789966],[0.75 0.25]
Li1+,Sc3+,[19.61671274],[0.75 0.25]
Sc3+,Sr2+,[19.58368239],[0.75 0.25]
Zr4+,Fr1+,[19.5788584],[0.75 0.25]
La3+,Fr1+,[19.57616242],[0.75 0.25]
Zn2+,Sr2+,[19.56966107],[0.75 0.25]
Na1+,Rb1+,[19.5691396],[0.75 0.25]
Be2+,Eu3+,[19.56274638],[0.75 0.25]
Sc3+,Eu3+,[19.55779149],[0.75 0.25]
Li1+,Na1+,[19.55162146],[0.75 0.25]
Sm3+,Fr1+,[19.55089058],[0.75 0.25]
Ca2+,Ra2+,[19.52271584],[0.75 0.25]
Li1+,Ra2+,[19.50417778],[0.75 0.25]
Zn2+,Fr1+,[19.5034506],[0.75 0.25]
Sn4+,Fr1+,[19.49967331],[0.75 0.25]
Mn4+,Sr2+,[19.49585737],[0.75 0.25]
Na1+,Er3+,[19.49474759],[0.75 0.25]
Li1+,Ti4+,[19.4867531],[0.75 0.25]
Pr3+,Fr1+,[19.48628759],[0.75 0.25]
Sc3+,Tb3+,[19.48288951],[0.75 0.25]
Nd3+,Fr1+,[19.46917053],[0.75 0.25]
Sc3+,Ba2+,[19.46599308],[0.75 0.25]
Cr3+,Cs1+,[19.4643578],[0.75 0.25]
Pm3+,Fr1+,[19.44998693],[0.75 0.25]
Ti4+,Fr1+,[19.43140477],[0.75 0.25]
Al3+,Cr3+,[19.39816152],[0.75 0.25]
Sc3+,Sm3+,[19.38990074],[0.75 0.25]
Sc3+,Pm3+,[19.36289788],[0.75 0.25]
Nb5+,Cs1+,[19.36177374],[0.75 0.25]
Eu3+,Fr1+,[19.34998282],[0.75 0.25]
Sn4+,Ba2+,[19.34957587],[0.75 0.25]
Na1+,Cs1+,[19.34727851],[0.75 0.25]
V5+,Ba2+,[19.34437506],[0.75 0.25]
Mg2+,Ra2+,[19.3275128],[0.75 0.25]
Ti4+,Ra2+,[19.31406771],[0.75 0.25]
Sc3+,Gd3+,[19.31109446],[0.75 0.25]
V5+,Rb1+,[19.29985555],[0.75 0.25]
Ti4+,La3+,[19.29085365],[0.75 0.25]
Sc3+,Nd3+,[19.28656243],[0.75 0.25]
Li1+,Lu3+,[19.26702895],[0.75 0.25]
La3+,Ra2+,[19.26306261],[0.75 0.25]
Na1+,Ba2+,[19.25076324],[0.75 0.25]
Ti4+,Eu3+,[19.23764388],[0.75 0.25]
Cr3+,Rb1+,[19.23713004],[0.75 0.25]
Be2+,Ce4+,[19.23651191],[0.75 0.25]
Al3+,V5+,[19.23411194],[0.75 0.25]
Al3+,K1+,[19.23092448],[0.75 0.25]
Be2+,Cr3+,[19.22828958],[0.75 0.25]
Sr2+,Eu3+,[19.22788932],[0.75 0.25]
V5+,Cs1+,[19.2256149],[0.75 0.25]
Sc3+,La3+,[19.22013746],[0.75 0.25]
Ti4+,Y3+,[19.2177667],[0.75 0.25]
In3+,Ba2+,[19.21393682],[0.75 0.25]
Sr2+,Ba2+,[19.19523941],[0.75 0.25]
Sc3+,Pr3+,[19.18656662],[0.75 0.25]
Cr3+,Fr1+,[19.18571028],[0.75 0.25]
Mg2+,Nb5+,[19.18532553],[0.75 0.25]
Mg2+,Sr2+,[19.18501269],[0.75 0.25]
In3+,Fr1+,[19.1807893],[0.75 0.25]
Gd3+,Fr1+,[19.17766374],[0.75 0.25]
K1+,Pr3+,[19.17106312],[0.75 0.25]
Be2+,Sr2+,[19.16191482],[0.75 0.25]
Ca2+,Y3+,[19.15241647],[0.75 0.25]
Be2+,La3+,[19.12263596],[0.75 0.25]
