material1,material2,pred_temp,weights
Li1+,Tc4+,[6.55098643],[0.5 0.5]
Cr3+,Pr3+,[6.53620075],[0.5 0.5]
Nd3+,Ta5+,[6.53520429],[0.5 0.5]
Ti4+,Pm3+,[6.53025143],[0.5 0.5]
Cr3+,Pm3+,[6.5081694],[0.5 0.5]
Al3+,Tm3+,[6.50612191],[0.5 0.5]
Eu3+,Yb3+,[6.49385301],[0.5 0.5]
Mn4+,Y3+,[6.48286951],[0.5 0.5]
Mn4+,Fe3+,[6.48213019],[0.5 0.5]
Ca2+,Ac3+,[6.46549908],[0.5 0.5]
Y3+,Lu3+,[6.46118508],[0.5 0.5]
Al3+,Er3+,[6.4597718],[0.5 0.5]
Mo6+,La3+,[6.44766885],[0.5 0.5]
Ti4+,V5+,[6.4218234],[0.5 0.5]
Na1+,Am3+,[6.4005191],[0.5 0.5]
Ca2+,Ru3+,[6.38900745],[0.5 0.5]
Ni2+,In3+,[6.38459572],[0.5 0.5]
Nb5+,W6+,[6.37611901],[0.5 0.5]
Nb5+,W4+,[6.37611901],[0.5 0.5]
Ni2+,Mo6+,[6.35438599],[0.5 0.5]
Hf4+,Ta5+,[6.35009803],[0.5 0.5]
Cu2+,Mo6+,[6.33778177],[0.5 0.5]
Mn4+,Ce4+,[6.33438299],[0.5 0.5]
Li1+,W4+,[6.32233699],[0.5 0.5]
Li1+,W6+,[6.32233699],[0.5 0.5]
Mn4+,Pm3+,[6.31213667],[0.5 0.5]
Bi3+,Po4+,[6.2898005],[0.5 0.5]
Nd3+,Pm3+,[6.28607731],[0.5 0.5]
Mn4+,Nd3+,[6.28450073],[0.5 0.5]
Ca2+,W6+,[6.28075861],[0.5 0.5]
Ca2+,W4+,[6.28075861],[0.5 0.5]
Y3+,Tm3+,[6.2728526],[0.5 0.5]
V5+,Sm3+,[6.26599768],[0.5 0.5]
Pm3+,Ta5+,[6.25784335],[0.5 0.5]
Y3+,Nd3+,[6.25714877],[0.5 0.5]
Sc3+,Tc4+,[6.24397032],[0.5 0.5]
Cr3+,Ce4+,[6.22294964],[0.5 0.5]
Ti4+,Ta5+,[6.19913354],[0.5 0.5]
Mn4+,Cu2+,[6.19843317],[0.5 0.5]
Na1+,Tc4+,[6.18775021],[0.5 0.5]
Ag1+,Dy3+,[6.18630514],[0.5 0.5]
Y3+,Hf4+,[6.15659232],[0.5 0.5]
Mn4+,Pr3+,[6.15511646],[0.5 0.5]
La3+,Os4+,[6.15444511],[0.5 0.5]
Co3+,Ni2+,[6.15107272],[0.5 0.5]
K1+,Fr1+,[6.15061516],[0.5 0.5]
Na1+,Pd4+,[6.1496124],[0.5 0.5]
Li1+,Pd4+,[6.14384656],[0.5 0.5]
Tc4+,Re4+,[6.14023581],[0.5 0.5]
Er3+,Tm3+,[6.1146512],[0.5 0.5]
Ca2+,Am3+,[6.10421203],[0.5 0.5]
Ru3+,W6+,[6.10273307],[0.5 0.5]
Ru3+,W4+,[6.10273307],[0.5 0.5]
Na1+,Os4+,[6.07585267],[0.5 0.5]
Nb5+,Ta5+,[6.05903301],[0.5 0.5]
Ho3+,Er3+,[6.05761708],[0.5 0.5]
Sr2+,Ru3+,[6.05705416],[0.5 0.5]
Cr3+,La3+,[6.04428884],[0.5 0.5]
Yb3+,Lu3+,[6.03373133],[0.5 0.5]
Ag1+,Ho3+,[6.02155733],[0.5 0.5]
Ca2+,Rb1+,[5.99902867],[0.5 0.5]
Nb5+,Pm3+,[5.99654293],[0.5 0.5]
Ca2+,Re4+,[5.98824354],[0.5 0.5]
Mn4+,La3+,[5.98692493],[0.5 0.5]
Ni2+,Cs1+,[5.98637362],[0.5 0.5]
Ag1+,Pm3+,[5.98255762],[0.5 0.5]
U6+,Np5+,[5.97735708],[0.5 0.5]
Al3+,Fr1+,[5.9567636],[0.5 0.5]
In3+,Sn4+,[5.95578841],[0.5 0.5]
In3+,Bi3+,[5.95361401],[0.5 0.5]
Zr4+,In3+,[5.95303584],[0.5 0.5]
La3+,Ce4+,[5.94414803],[0.5 0.5]
Li1+,Ag1+,[5.94008884],[0.5 0.5]
Pm3+,Ra2+,[5.93162368],[0.5 0.5]
Cd2+,Os4+,[5.9302525],[0.5 0.5]
Ag1+,Nd3+,[5.92608676],[0.5 0.5]
Ag1+,La3+,[5.92244973],[0.5 0.5]
Nb5+,Ir4+,[5.92000977],[0.5 0.5]
Mo6+,Th4+,[5.91872529],[0.5 0.5]
Al3+,Ho3+,[5.91630213],[0.5 0.5]
W4+,Re4+,[5.90907705],[0.5 0.5]
W6+,Re4+,[5.90907705],[0.5 0.5]
Li1+,Os4+,[5.89903939],[0.5 0.5]
Nb5+,Nd3+,[5.89111515],[0.5 0.5]
Am3+,Cm3+,[5.88342879],[0.5 0.5]
Be2+,Fr1+,[5.8740009],[0.5 0.5]
La3+,W6+,[5.87143436],[0.5 0.5]
La3+,W4+,[5.87143436],[0.5 0.5]
La3+,Re4+,[5.85482331],[0.5 0.5]
Po4+,Np5+,[5.85055497],[0.5 0.5]
Ag1+,Cs1+,[5.84861493],[0.5 0.5]
Ca2+,Os4+,[5.84140594],[0.5 0.5]
Bi3+,Pu4+,[5.83821982],[0.5 0.5]
Rb1+,Cs1+,[5.8344968],[0.5 0.5]
Po4+,U6+,[5.83240071],[0.5 0.5]
Al3+,Rh3+,[5.82176949],[0.5 0.5]
Bi3+,U6+,[5.80776241],[0.5 0.5]
Li1+,Ra2+,[5.80744578],[0.5 0.5]
Sn4+,Pb4+,[5.79898917],[0.5 0.5]
Dy3+,Ho3+,[5.79170357],[0.5 0.5]
Zr4+,Pm3+,[5.78397495],[0.5 0.5]
Mo6+,Os4+,[5.76955194],[0.5 0.5]
Ti4+,Tc4+,[5.76602658],[0.5 0.5]
Nb5+,Cd2+,[5.76575155],[0.5 0.5]
Ag1+,Ce4+,[5.74720138],[0.5 0.5]
La3+,Ac3+,[5.7440527],[0.5 0.5]
U6+,Pu4+,[5.74316569],[0.5 0.5]
Ca2+,Tc4+,[5.74066419],[0.5 0.5]
Zr4+,Ta5+,[5.7325236],[0.5 0.5]
Ni2+,Pr3+,[5.73033331],[0.5 0.5]
K1+,Mo6+,[5.7253277],[0.5 0.5]
Zr4+,Nd3+,[5.69235547],[0.5 0.5]
Al3+,Ru3+,[5.69032155],[0.5 0.5]
Li1+,Rh3+,[5.68905942],[0.5 0.5]
Re4+,Pb4+,[5.68478132],[0.5 0.5]
Sc3+,Ac3+,[5.68327239],[0.5 0.5]
Ti4+,Nd3+,[5.67435663],[0.5 0.5]
Cm3+,Bk3+,[5.64495045],[0.5 0.5]
Li1+,Rb1+,[5.64348218],[0.5 0.5]
Ce4+,Ta5+,[5.64254766],[0.5 0.5]
Gd3+,Dy3+,[5.60977147],[0.5 0.5]
Cr3+,Sm3+,[5.60881362],[0.5 0.5]
K1+,Ir4+,[5.60381838],[0.5 0.5]
Na1+,Ir4+,[5.6031074],[0.5 0.5]
Y3+,In3+,[5.5990971],[0.5 0.5]
Li1+,Er3+,[5.59804256],[0.5 0.5]
W6+,W4+,[5.59571718],[0.5 0.5]
Ag1+,Am3+,[5.59443207],[0.5 0.5]
Ac3+,Th4+,[5.59361469],[0.5 0.5]
Sc3+,Ho3+,[5.57684883],[0.5 0.5]
Zr4+,Er3+,[5.57049003],[0.5 0.5]
K1+,Ra2+,[5.56706643],[0.5 0.5]
Pu4+,Am3+,[5.56508034],[0.5 0.5]
Ag1+,Tm3+,[5.55969268],[0.5 0.5]
Ca2+,Hf4+,[5.5578986],[0.5 0.5]
Na1+,Ra2+,[5.54838355],[0.5 0.5]
K1+,W4+,[5.53510536],[0.5 0.5]
K1+,W6+,[5.53510536],[0.5 0.5]
Mg2+,Rb1+,[5.53272806],[0.5 0.5]
Ru3+,Cs1+,[5.53103053],[0.5 0.5]
Pb4+,Pu4+,[5.52631214],[0.5 0.5]
Al3+,Lu3+,[5.52003723],[0.5 0.5]
Tc4+,Ac3+,[5.51971793],[0.5 0.5]
Al3+,K1+,[5.50946226],[0.5 0.5]
Ca2+,Pb4+,[5.50365079],[0.5 0.5]
Sn4+,Ta5+,[5.50319177],[0.5 0.5]
Mn4+,Zr4+,[5.50155901],[0.5 0.5]
Nb5+,Ac3+,[5.4957455],[0.5 0.5]
Pu4+,Cm3+,[5.49423467],[0.5 0.5]
Ag1+,Er3+,[5.49097695],[0.5 0.5]
Pb4+,Po4+,[5.48770281],[0.5 0.5]
K1+,Rb1+,[5.48729456],[0.5 0.5]
Mo6+,Cs1+,[5.48157009],[0.5 0.5]
Tb3+,Dy3+,[5.48125832],[0.5 0.5]
Mg2+,Re4+,[5.47698237],[0.5 0.5]
Rb1+,W4+,[5.46993914],[0.5 0.5]
Rb1+,W6+,[5.46993914],[0.5 0.5]
La3+,Ta5+,[5.46731611],[0.5 0.5]
Mn4+,In3+,[5.46591444],[0.5 0.5]
Cr3+,Eu3+,[5.45508798],[0.5 0.5]
Sr2+,Ho3+,[5.44945267],[0.5 0.5]
Tl3+,Pb4+,[5.43082492],[0.5 0.5]
K1+,Os4+,[5.42965261],[0.5 0.5]
K1+,Au3+,[5.39495164],[0.5 0.5]
Yb3+,Ra2+,[5.39148172],[0.5 0.5]
Be2+,Po4+,[5.3889565],[0.5 0.5]
Ho3+,Tm3+,[5.38478933],[0.5 0.5]
Sc3+,Er3+,[5.38229116],[0.5 0.5]
Eu3+,Gd3+,[5.38198144],[0.5 0.5]
Tb3+,Ra2+,[5.37978923],[0.5 0.5]
Eu3+,Tb3+,[5.37674995],[0.5 0.5]
Na1+,La3+,[5.37095432],[0.5 0.5]
Y3+,Tb3+,[5.37017054],[0.5 0.5]
Co3+,Pr3+,[5.3669089],[0.5 0.5]
Li1+,Mo6+,[5.36594554],[0.5 0.5]
K1+,Cs1+,[5.36163089],[0.5 0.5]
La3+,Am3+,[5.35467431],[0.5 0.5]
Ca2+,Fr1+,[5.34448537],[0.5 0.5]
Mn4+,Pb4+,[5.33178283],[0.5 0.5]
Li1+,Al3+,[5.32741281],[0.5 0.5]
K1+,Ti4+,[5.32671356],[0.5 0.5]
Ce4+,Re4+,[5.32086323],[0.5 0.5]
Y3+,Tc4+,[5.31377845],[0.5 0.5]
Zn2+,Sn4+,[5.30609939],[0.5 0.5]
Li1+,Tl3+,[5.30187941],[0.5 0.5]
Sr2+,Rh3+,[5.30173613],[0.5 0.5]
Tl3+,Bi3+,[5.29498295],[0.5 0.5]
Sc3+,Co3+,[5.29424683],[0.5 0.5]
Tc4+,In3+,[5.28562168],[0.5 0.5]
Sm3+,Gd3+,[5.28312415],[0.5 0.5]
Tl3+,Pu4+,[5.28220471],[0.5 0.5]
Y3+,Sm3+,[5.26702218],[0.5 0.5]
