material1,material2,pred_temp,weights
Sc3+,Ag1+,[27.95825898],[0.66666667 0.33333333]
Ag1+,U6+,[23.86493677],[0.66666667 0.33333333]
Ag1+,Pu4+,[23.83502647],[0.66666667 0.33333333]
Mg2+,Fr1+,[21.60001856],[0.66666667 0.33333333]
Ca2+,Cs1+,[21.51194087],[0.66666667 0.33333333]
Ca2+,Fr1+,[21.46618128],[0.66666667 0.33333333]
Ti4+,Rb1+,[21.22282286],[0.66666667 0.33333333]
Ca2+,Rb1+,[21.19190084],[0.66666667 0.33333333]
Ti4+,Ag1+,[20.90830867],[0.66666667 0.33333333]
Na1+,Fr1+,[20.83192914],[0.66666667 0.33333333]
Sc3+,Fr1+,[20.78878395],[0.66666667 0.33333333]
Sc3+,Rb1+,[20.559103],[0.66666667 0.33333333]
Ag1+,Np5+,[20.49422991],[0.66666667 0.33333333]
Ti4+,Cs1+,[20.44404909],[0.66666667 0.33333333]
Be2+,Ra2+,[20.42535997],[0.66666667 0.33333333]
Li1+,K1+,[20.39966223],[0.66666667 0.33333333]
Mg2+,Rb1+,[20.33924378],[0.66666667 0.33333333]
Al3+,Nb5+,[20.31260356],[0.66666667 0.33333333]
Be2+,Ti4+,[20.21784379],[0.66666667 0.33333333]
Ca2+,Sr2+,[20.21695214],[0.66666667 0.33333333]
Rb1+,Fr1+,[20.18922184],[0.66666667 0.33333333]
Li1+,Al3+,[20.10022204],[0.66666667 0.33333333]
Sc3+,Cs1+,[20.09572013],[0.66666667 0.33333333]
Li1+,Ca2+,[20.03198419],[0.66666667 0.33333333]
Li1+,Na1+,[20.02056921],[0.66666667 0.33333333]
Rb1+,Cs1+,[20.02025289],[0.66666667 0.33333333]
Sr2+,Cs1+,[20.01869117],[0.66666667 0.33333333]
Sc3+,Y3+,[19.98180962],[0.66666667 0.33333333]
Na1+,Ra2+,[19.93900621],[0.66666667 0.33333333]
Zn2+,Ba2+,[19.93875441],[0.66666667 0.33333333]
K1+,Rb1+,[19.91881331],[0.66666667 0.33333333]
Be2+,V5+,[19.8670718],[0.66666667 0.33333333]
K1+,Fr1+,[19.81214164],[0.66666667 0.33333333]
Y3+,Cs1+,[19.80639678],[0.66666667 0.33333333]
K1+,Cs1+,[19.80503841],[0.66666667 0.33333333]
Na1+,Rb1+,[19.66034822],[0.66666667 0.33333333]
Na1+,Sr2+,[19.6258881],[0.66666667 0.33333333]
Mn4+,Ba2+,[19.61511183],[0.66666667 0.33333333]
Al3+,Zn2+,[19.61186837],[0.66666667 0.33333333]
Be2+,Sc3+,[19.59788147],[0.66666667 0.33333333]
Sr2+,Fr1+,[19.59485034],[0.66666667 0.33333333]
Ni2+,Rb1+,[19.58891143],[0.66666667 0.33333333]
Sc3+,Zr4+,[19.55141974],[0.66666667 0.33333333]
K1+,Ba2+,[19.54945621],[0.66666667 0.33333333]
Zr4+,Fr1+,[19.53185764],[0.66666667 0.33333333]
Zr4+,Cs1+,[19.5075483],[0.66666667 0.33333333]
Ba2+,Fr1+,[19.50138766],[0.66666667 0.33333333]
Eu3+,Fr1+,[19.46702249],[0.66666667 0.33333333]
Nb5+,Cs1+,[19.44145715],[0.66666667 0.33333333]
Li1+,Er3+,[19.42379927],[0.66666667 0.33333333]
Gd3+,Fr1+,[19.37465043],[0.66666667 0.33333333]
Na1+,K1+,[19.37212674],[0.66666667 0.33333333]
Ti4+,Fr1+,[19.33443408],[0.66666667 0.33333333]
Mn4+,Fr1+,[19.33417676],[0.66666667 0.33333333]
Na1+,Cs1+,[19.31879383],[0.66666667 0.33333333]
Y3+,Fr1+,[19.31646883],[0.66666667 0.33333333]
Mg2+,Ba2+,[19.31283489],[0.66666667 0.33333333]
Cr3+,Rb1+,[19.3036125],[0.66666667 0.33333333]
Zn2+,Sr2+,[19.29729027],[0.66666667 0.33333333]
Sc3+,Ra2+,[19.2930845],[0.66666667 0.33333333]
Sc3+,Sr2+,[19.26863875],[0.66666667 0.33333333]
V5+,Sr2+,[19.2458247],[0.66666667 0.33333333]
V5+,Fr1+,[19.24011394],[0.66666667 0.33333333]
Li1+,Ti4+,[19.23879451],[0.66666667 0.33333333]
Ti4+,Ce4+,[19.23050289],[0.66666667 0.33333333]
Ca2+,Ba2+,[19.20121402],[0.66666667 0.33333333]
Na1+,Ca2+,[19.19267234],[0.66666667 0.33333333]
Ce4+,Fr1+,[19.17750172],[0.66666667 0.33333333]
Sr2+,Eu3+,[19.17146849],[0.66666667 0.33333333]
Mn4+,Sr2+,[19.16744418],[0.66666667 0.33333333]
Tb3+,Fr1+,[19.16573687],[0.66666667 0.33333333]
Al3+,In3+,[19.14593827],[0.66666667 0.33333333]
Nd3+,Fr1+,[19.13606703],[0.66666667 0.33333333]
Al3+,Ti4+,[19.13592696],[0.66666667 0.33333333]
Sn4+,Fr1+,[19.12207056],[0.66666667 0.33333333]
La3+,Fr1+,[19.11797185],[0.66666667 0.33333333]
Mg2+,Sr2+,[19.11550362],[0.66666667 0.33333333]
Pr3+,Fr1+,[19.11231007],[0.66666667 0.33333333]
V5+,Rb1+,[19.11230098],[0.66666667 0.33333333]
