material1,material2,material3,pred_temp,weights
Al3+,Sr2+,Fr1+,[47.36236232],[0.333 0.333 0.333]
Al3+,Sc3+,Fr1+,[46.45708406],[0.333 0.333 0.333]
Al3+,Ba2+,Fr1+,[39.79443291],[0.333 0.333 0.333]
Be2+,Ca2+,Fr1+,[38.31185409],[0.333 0.333 0.333]
Be2+,Rb1+,Fr1+,[37.74261597],[0.333 0.333 0.333]
Be2+,Rb1+,Cs1+,[37.73937439],[0.333 0.333 0.333]
Be2+,Mg2+,Fr1+,[37.71290097],[0.333 0.333 0.333]
Be2+,Cs1+,Fr1+,[37.47935622],[0.333 0.333 0.333]
Ag1+,Te2+,Cs1+,[36.87198266],[0.333 0.333 0.333]
Be2+,Sr2+,Fr1+,[36.81372967],[0.333 0.333 0.333]
Mg2+,Cs1+,Fr1+,[36.67591728],[0.333 0.333 0.333]
Be2+,Ba2+,Fr1+,[36.62777645],[0.333 0.333 0.333]
Ca2+,Sr2+,Fr1+,[36.39874652],[0.333 0.333 0.333]
Be2+,Mg2+,Cs1+,[36.15761591],[0.333 0.333 0.333]
Al3+,Cs1+,Fr1+,[35.72060552],[0.333 0.333 0.333]
Be2+,Ca2+,Cs1+,[35.23066913],[0.333 0.333 0.333]
Ca2+,Cs1+,Fr1+,[35.06023311],[0.333 0.333 0.333]
Be2+,Sr2+,Cs1+,[35.03326909],[0.333 0.333 0.333]
Be2+,Sc3+,Fr1+,[34.82918637],[0.333 0.333 0.333]
Ag1+,Sb3+,Cs1+,[34.80788445],[0.333 0.333 0.333]
Al3+,Rb1+,Fr1+,[33.20632797],[0.333 0.333 0.333]
Al3+,Ca2+,Fr1+,[33.04732617],[0.333 0.333 0.333]
Be2+,Sr2+,Ba2+,[32.82753011],[0.333 0.333 0.333]
Al3+,Y3+,Fr1+,[32.75699],[0.333 0.333 0.333]
Li1+,Ca2+,Hg1+,[32.42777909],[0.333 0.333 0.333]
Mg2+,Ca2+,Fr1+,[32.00045176],[0.333 0.333 0.333]
Be2+,Al3+,Fr1+,[31.91673016],[0.333 0.333 0.333]
Mg2+,Sc3+,Fr1+,[31.84194175],[0.333 0.333 0.333]
Mg2+,Sr2+,Fr1+,[31.80059018],[0.333 0.333 0.333]
Li1+,K1+,Hg1+,[31.65492598],[0.333 0.333 0.333]
Mg2+,Al3+,Fr1+,[31.45588241],[0.333 0.333 0.333]
Li1+,Be2+,Bi3+,[31.23688106],[0.333 0.333 0.333]
Al3+,Ti4+,Fr1+,[31.21972225],[0.333 0.333 0.333]
Li1+,Be2+,Mn2+,[30.84516666],[0.333 0.333 0.333]
Ag1+,Ba2+,Au3+,[30.82179093],[0.333 0.333 0.333]
Be2+,Cs1+,Po2+,[30.81381474],[0.333 0.333 0.333]
Li1+,Na1+,Hg1+,[30.6805588],[0.333 0.333 0.333]
Y3+,Ag1+,Au3+,[30.60061029],[0.333 0.333 0.333]
Sc3+,Ag1+,Au3+,[30.38152907],[0.333 0.333 0.333]
Al3+,Ba2+,Ra2+,[30.33753975],[0.333 0.333 0.333]
Ag1+,Ho3+,Au3+,[30.12963579],[0.333 0.333 0.333]
Li1+,Be2+,Ac3+,[30.10031226],[0.333 0.333 0.333]
Ag1+,Dy3+,Au3+,[29.99468366],[0.333 0.333 0.333]
Ag1+,Ba2+,W6+,[29.9278764],[0.333 0.333 0.333]
Ag1+,Eu3+,Au3+,[29.90618319],[0.333 0.333 0.333]
Ag1+,Gd3+,Au3+,[29.84662764],[0.333 0.333 0.333]
Ga3+,Ag1+,Au3+,[29.84468583],[0.333 0.333 0.333]
Ag1+,Tb3+,Au3+,[29.80248198],[0.333 0.333 0.333]
Ag1+,Au3+,Ra2+,[29.79451225],[0.333 0.333 0.333]
Be2+,Cs1+,Bi3+,[29.75834859],[0.333 0.333 0.333]
Li1+,Ca2+,Bi3+,[29.71225703],[0.333 0.333 0.333]
Mg2+,Rb1+,Fr1+,[29.69110957],[0.333 0.333 0.333]
Ag1+,Ba2+,Ir3+,[29.63399811],[0.333 0.333 0.333]
Ca2+,Rb1+,Hg1+,[29.5525328],[0.333 0.333 0.333]
Li1+,Be2+,Tb3+,[29.50219817],[0.333 0.333 0.333]
Ag1+,Nd3+,Au3+,[29.47407437],[0.333 0.333 0.333]
Y3+,Ag1+,W6+,[29.46950439],[0.333 0.333 0.333]
Be2+,Cs1+,Ac3+,[29.43515618],[0.333 0.333 0.333]
Li1+,Rb1+,Hg1+,[29.42287589],[0.333 0.333 0.333]
Ag1+,La3+,Au3+,[29.34295809],[0.333 0.333 0.333]
Ti4+,Ag1+,Au3+,[29.3328552],[0.333 0.333 0.333]
Be2+,Al3+,Cs1+,[29.20104489],[0.333 0.333 0.333]
Ca2+,Ag1+,Bk3+,[29.17837241],[0.333 0.333 0.333]
Na1+,K1+,Hg1+,[29.17092291],[0.333 0.333 0.333]
Ag1+,Tm3+,Au3+,[29.16524699],[0.333 0.333 0.333]
Ag1+,Au3+,Fr1+,[29.15386378],[0.333 0.333 0.333]
Cu2+,Ag1+,U6+,[29.12843177],[0.333 0.333 0.333]
Ca2+,Rb1+,Fr1+,[29.0739749],[0.333 0.333 0.333]
