material1,material2,pred_temp,weights
O1+,C4-,[55.41173689],[0.8 0.2]
O0.5+,C2-,[55.36607863],[0.8 0.2]
C2+,O0.5-,[55.36607863],[0.2 0.8]
C2+,O1-,[55.03930459],[0.33333333 0.66666667]
O1+,C2-,[55.03930459],[0.66666667 0.33333333]
C3+,O2-,[54.97087522],[0.4 0.6]
O2+,C3-,[54.97087522],[0.6 0.4]
O0.5+,C1-,[54.97022896],[0.66666667 0.33333333]
C1+,O0.5-,[54.97022896],[0.33333333 0.66666667]
O0.333+,O2-,[54.95787502],[0.85726532 0.14273468]
O2+,O0.333-,[54.95787502],[0.14273468 0.85726532]
O1+,O0.333-,[54.92525597],[0.24981245 0.75018755]
O0.333+,O1-,[54.92525597],[0.75018755 0.24981245]
O2+,O0.5-,[54.88637642],[0.2 0.8]
O0.5+,O2-,[54.88637642],[0.8 0.2]
N1+,F1-,[54.84774007],[0.5 0.5]
Cl5+,H1-,[54.76191276],[0.16666667 0.83333333]
Cl6+,H1-,[54.76191276],[0.14285714 0.85714286]
O2+,N1-,[54.66301752],[0.33333333 0.66666667]
N1+,O2-,[54.66301752],[0.66666667 0.33333333]
Br7+,O1-,[54.55815694],[0.125 0.875]
O2+,C4-,[54.55016173],[0.66666667 0.33333333]
C4+,O2-,[54.55016173],[0.33333333 0.66666667]
O2+,C1-,[54.49595278],[0.33333333 0.66666667]
C1+,O2-,[54.49595278],[0.66666667 0.33333333]
N2+,O1-,[54.44554986],[0.33333333 0.66666667]
O1+,N2-,[54.44554986],[0.66666667 0.33333333]
N4+,O2-,[54.39445392],[0.33333333 0.66666667]
B2+,F1-,[54.37675289],[0.33333333 0.66666667]
N1+,O0.5-,[54.37647423],[0.33333333 0.66666667]
O0.5+,N1-,[54.37647423],[0.66666667 0.33333333]
N3+,O2-,[54.35497678],[0.4 0.6]
O2+,N3-,[54.35497678],[0.6 0.4]
N1+,O1-,[54.2895426],[0.5 0.5]
O1+,N1-,[54.2895426],[0.5 0.5]
N2+,O2-,[54.28590115],[0.5 0.5]
O2+,N2-,[54.28590115],[0.5 0.5]
N5+,O2-,[54.27701695],[0.28571429 0.71428571]
Ag2+,Cl1-,[54.26947179],[0.33333333 0.66666667]
B1+,F1-,[54.22905979],[0.5 0.5]
N5+,N1-,[54.04904243],[0.16666667 0.83333333]
O1+,C3-,[53.93577051],[0.75 0.25]
C3+,O1-,[53.93577051],[0.25 0.75]
C1+,O0.333-,[53.88532233],[0.24981245 0.75018755]
O0.333+,C1-,[53.88532233],[0.75018755 0.24981245]
H1+,Cl1-,[53.81346793],[0.5 0.5]
Cl1+,H1-,[53.81346793],[0.5 0.5]
C2+,O2-,[53.65862632],[0.5 0.5]
O2+,C2-,[53.65862632],[0.5 0.5]
O1+,C1-,[53.63537702],[0.5 0.5]
C1+,O1-,[53.63537702],[0.5 0.5]
N5+,N3-,[53.60023641],[0.375 0.625]
Cl3+,H1-,[53.57797566],[0.25 0.75]
N5+,N2-,[53.57541848],[0.28571429 0.71428571]
O0.5+,N2-,[53.56894528],[0.8 0.2]
N2+,O0.5-,[53.56894528],[0.2 0.8]
N4+,N3-,[53.56851372],[0.42857143 0.57142857]
N3+,N3-,[53.54197591],[0.5 0.5]
N4+,O1-,[53.5379929],[0.2 0.8]
N4+,N2-,[53.49358375],[0.33333333 0.66666667]
P2+,F1-,[53.4711374],[0.33333333 0.66666667]
S2+,F1-,[53.47017431],[0.33333333 0.66666667]
N5+,Cl1-,[53.4150813],[0.16666667 0.83333333]
N2+,N1-,[53.30931204],[0.33333333 0.66666667]
N1+,N2-,[53.30931204],[0.66666667 0.33333333]
N2+,N3-,[53.30567058],[0.6 0.4]
N3+,N2-,[53.30567058],[0.4 0.6]
N1+,N1-,[53.28277423],[0.5 0.5]
N2+,N2-,[53.27913277],[0.5 0.5]
N5+,H1-,[53.26090393],[0.16666667 0.83333333]
O1+,N3-,[53.18747936],[0.75 0.25]
N3+,O1-,[53.18747936],[0.25 0.75]
N1+,O0.333-,[53.13588273],[0.24981245 0.75018755]
O0.333+,N1-,[53.13588273],[0.75018755 0.24981245]
N5+,C1-,[53.07919447],[0.16666667 0.83333333]
O0.5+,H1-,[52.90457173],[0.66666667 0.33333333]
H1+,O0.5-,[52.90457173],[0.33333333 0.66666667]
N4+,Cl1-,[52.79013763],[0.2 0.8]
S1+,F1-,[52.77983912],[0.5 0.5]
Ag3+,Cl1-,[52.52007683],[0.25 0.75]
Cl4+,H1-,[52.34792116],[0.2 0.8]
Cl1+,F1-,[52.32756784],[0.5 0.5]
O1+,Cl1-,[52.31577138],[0.5 0.5]
Cl1+,O1-,[52.31577138],[0.5 0.5]
O2+,Cl1-,[52.31160679],[0.33333333 0.66666667]
Cl1+,O2-,[52.31160679],[0.66666667 0.33333333]
N1+,C2-,[52.20448172],[0.66666667 0.33333333]
C2+,N1-,[52.20448172],[0.33333333 0.66666667]
C4+,N3-,[52.17779451],[0.42857143 0.57142857]
N4+,C4-,[52.17779451],[0.5 0.5]
N3+,C4-,[52.17779451],[0.57142857 0.42857143]
N3+,C3-,[52.17779451],[0.5 0.5]
C3+,N3-,[52.17779451],[0.5 0.5]
N2+,C2-,[52.11290375],[0.5 0.5]
C2+,N2-,[52.11290375],[0.5 0.5]
N5+,C4-,[52.09663819],[0.44444444 0.55555556]
C1+,N1-,[52.08965445],[0.5 0.5]
N1+,C1-,[52.08965445],[0.5 0.5]
N1+,N3-,[52.0868874],[0.75 0.25]
N3+,N1-,[52.0868874],[0.25 0.75]
N2+,F1-,[52.07348193],[0.33333333 0.66666667]
Cl3+,O2-,[52.07277955],[0.4 0.6]
C3+,N2-,[52.05466846],[0.4 0.6]
N2+,C3-,[52.05466846],[0.6 0.4]
