material1,material2,material3,pred_temp,weights
Al3+,Sr2+,Fr1+,[46.17813808],[0.25 0.5  0.25]
Al3+,Sc3+,Fr1+,[43.30138233],[0.25 0.5  0.25]
Be2+,Ca2+,Fr1+,[40.32288877],[0.25 0.5  0.25]
Be2+,Mg2+,Fr1+,[39.24611409],[0.25 0.5  0.25]
Al3+,Cs1+,Fr1+,[38.78613598],[0.25 0.5  0.25]
Be2+,Ba2+,Fr1+,[38.50880899],[0.25 0.5  0.25]
Al3+,Ba2+,Fr1+,[38.09385363],[0.25 0.5  0.25]
Al3+,Ca2+,Fr1+,[37.74144624],[0.25 0.5  0.25]
Al3+,Rb1+,Fr1+,[37.05378444],[0.25 0.5  0.25]
Be2+,Ca2+,Cs1+,[37.0115769],[0.25 0.5  0.25]
Be2+,Sr2+,Fr1+,[36.83309754],[0.25 0.5  0.25]
Be2+,Rb1+,Fr1+,[36.59965875],[0.25 0.5  0.25]
Be2+,Cs1+,Fr1+,[36.47466058],[0.25 0.5  0.25]
Al3+,Y3+,Fr1+,[36.12151158],[0.25 0.5  0.25]
Be2+,Sc3+,Fr1+,[35.88291393],[0.25 0.5  0.25]
Be2+,Rb1+,Cs1+,[35.76585435],[0.25 0.5  0.25]
Ca2+,Cs1+,Fr1+,[35.092993],[0.25 0.5  0.25]
Be2+,Mg2+,Cs1+,[35.08988888],[0.25 0.5  0.25]
Mg2+,Cs1+,Fr1+,[34.66228993],[0.25 0.5  0.25]
Be2+,K1+,Hg1+,[34.12574411],[0.25 0.5  0.25]
Li1+,Ca2+,Hg1+,[33.59676029],[0.25 0.5  0.25]
Ag1+,Te2+,Cs1+,[33.14330747],[0.25 0.5  0.25]
Be2+,Al3+,Fr1+,[32.80856986],[0.25 0.5  0.25]
Ca2+,Sr2+,Fr1+,[32.75024727],[0.25 0.5  0.25]
Be2+,Na1+,Hg1+,[32.64734151],[0.25 0.5  0.25]
Li1+,Be2+,Hg1+,[32.60209435],[0.25 0.5  0.25]
Be2+,Na1+,Am3+,[32.51367365],[0.25 0.5  0.25]
Mg2+,Ca2+,Fr1+,[32.25535264],[0.25 0.5  0.25]
Al3+,Ti4+,Fr1+,[32.24730356],[0.25 0.5  0.25]
Mg2+,Sr2+,Fr1+,[32.03268999],[0.25 0.5  0.25]
Be2+,Na1+,Cm3+,[31.95771306],[0.25 0.5  0.25]
Mg2+,Sc3+,Fr1+,[31.8370933],[0.25 0.5  0.25]
Be2+,Na1+,Tl1+,[31.78218564],[0.25 0.5  0.25]
Ag1+,Sb3+,Cs1+,[31.74444338],[0.25 0.5  0.25]
Ag1+,Nd3+,Au3+,[31.64349851],[0.25 0.5  0.25]
Be2+,Sr2+,Cs1+,[31.56704835],[0.25 0.5  0.25]
Ag1+,La3+,Au3+,[31.56198639],[0.25 0.5  0.25]
Be2+,Sr2+,Ba2+,[31.55825598],[0.25 0.5  0.25]
Li1+,Mg2+,Hg1+,[31.15692614],[0.25 0.5  0.25]
Li1+,Na1+,Hg1+,[30.95588859],[0.25 0.5  0.25]
Al3+,Ba2+,Ra2+,[30.9558695],[0.25 0.5  0.25]
Ag1+,Cs1+,Np5+,[30.91709153],[0.25 0.5  0.25]
Ag1+,Ce3+,Au3+,[30.88938079],[0.25 0.5  0.25]
Li1+,Be2+,Mn2+,[30.7962589],[0.25 0.5  0.25]
Ag1+,Gd3+,Ir3+,[30.79398197],[0.25 0.5  0.25]
Ag1+,Gd3+,Au3+,[30.75643065],[0.25 0.5  0.25]
Li1+,Be2+,Bi3+,[30.74562646],[0.25 0.5  0.25]
Be2+,Na1+,Pb2+,[30.73129845],[0.25 0.5  0.25]
Ag1+,Tb3+,Au3+,[30.71945586],[0.25 0.5  0.25]
Ag1+,Tb3+,Ir3+,[30.70124584],[0.25 0.5  0.25]
