material1,material2,material3,pred_temp,weights
Ag1+,Dy3+,Au3+,[30.69300208],[0.25 0.5  0.25]
Li1+,K1+,Hg1+,[30.62417082],[0.25 0.5  0.25]
Sc3+,Sr2+,Fr1+,[30.5547103],[0.25 0.5  0.25]
Be2+,K1+,Am3+,[30.53485444],[0.25 0.5  0.25]
Ag1+,Nd3+,W6+,[30.51474563],[0.25 0.5  0.25]
Li1+,Rb1+,Hg1+,[30.49585083],[0.25 0.5  0.25]
Ag1+,La3+,W6+,[30.46496914],[0.25 0.5  0.25]
Ag1+,Pr3+,Au3+,[30.44426623],[0.25 0.5  0.25]
Ag1+,Tm3+,W6+,[30.44219472],[0.25 0.5  0.25]
Ag1+,Cs1+,Pu4+,[30.42371309],[0.25 0.5  0.25]
Ag1+,Tm3+,Au3+,[30.38702945],[0.25 0.5  0.25]
Mg2+,Al3+,Fr1+,[30.36689872],[0.25 0.5  0.25]
Ag1+,Tm3+,Pt2+,[30.35764686],[0.25 0.5  0.25]
Ag1+,Dy3+,Ir3+,[30.32886106],[0.25 0.5  0.25]
Be2+,Na1+,Th4+,[30.29441415],[0.25 0.5  0.25]
Ag1+,Lu3+,W6+,[30.29336418],[0.25 0.5  0.25]
Ag1+,Cs1+,U6+,[30.21400872],[0.25 0.5  0.25]
Li1+,Ca2+,Cm3+,[30.1595747],[0.25 0.5  0.25]
Li1+,Ca2+,Am3+,[30.1595747],[0.25 0.5  0.25]
Ga3+,Ag1+,Au3+,[30.15366335],[0.25 0.5  0.25]
Al3+,Y3+,Ra2+,[30.08632385],[0.25 0.5  0.25]
Ag1+,Pm3+,Au3+,[30.08563373],[0.25 0.5  0.25]
Mg2+,K1+,Hg1+,[30.08009471],[0.25 0.5  0.25]
Li1+,Ca2+,Bi3+,[30.07531486],[0.25 0.5  0.25]
Ag1+,Au3+,Fr1+,[30.06531823],[0.25 0.5  0.25]
Be2+,Na1+,Bi3+,[30.06213363],[0.25 0.5  0.25]
Ag1+,Sm3+,Au3+,[30.02164718],[0.25 0.5  0.25]
Ag1+,Ho3+,W6+,[29.94924058],[0.25 0.5  0.25]
Al3+,K1+,Bi3+,[29.92675579],[0.25 0.5  0.25]
Ag1+,Ce3+,W6+,[29.86029883],[0.25 0.5  0.25]
Ti4+,In3+,Ra2+,[29.82865118],[0.25 0.5  0.25]
Ag1+,Ho3+,Pt2+,[29.80142196],[0.25 0.5  0.25]
Li1+,Mg2+,Tl1+,[29.78189442],[0.25 0.5  0.25]
Be2+,K1+,Tl1+,[29.71411979],[0.25 0.5  0.25]
Li1+,Be2+,Tl1+,[29.7045913],[0.25 0.5  0.25]
Ag1+,Ho3+,Au3+,[29.70339676],[0.25 0.5  0.25]
Be2+,Al3+,Cs1+,[29.62772367],[0.25 0.5  0.25]
Na1+,K1+,Hg1+,[29.58861404],[0.25 0.5  0.25]
Li1+,Mg2+,Pb2+,[29.5818747],[0.25 0.5  0.25]
Ti4+,Zn2+,Ra2+,[29.53721568],[0.25 0.5  0.25]
K1+,Ca2+,Ac3+,[29.52040043],[0.25 0.5  0.25]
Ag1+,Au3+,Ra2+,[29.48087422],[0.25 0.5  0.25]
Ag1+,Pr3+,W6+,[29.46131172],[0.25 0.5  0.25]
Be2+,K1+,Cm3+,[29.45822462],[0.25 0.5  0.25]
Ag1+,Pm3+,W6+,[29.4518031],[0.25 0.5  0.25]
Na1+,K1+,Pb2+,[29.44904378],[0.25 0.5  0.25]
Ag1+,Ba2+,Au3+,[29.4286879],[0.25 0.5  0.25]
Ag1+,Nd3+,Ir3+,[29.42589267],[0.25 0.5  0.25]
Mg2+,K1+,Pb2+,[29.36834241],[0.25 0.5  0.25]
Ag1+,Yb3+,U6+,[29.36635219],[0.25 0.5  0.25]
Be2+,Cs1+,Po2+,[29.33362119],[0.25 0.5  0.25]
Li1+,Ca2+,Bk3+,[29.32323274],[0.25 0.5  0.25]
Ag1+,Tm3+,Ir3+,[29.30863788],[0.25 0.5  0.25]
Ag1+,Ba2+,Ir3+,[29.2948438],[0.25 0.5  0.25]
Al3+,K1+,Pb2+,[29.27264024],[0.25 0.5  0.25]
Ag1+,Ho3+,Ir3+,[29.24465132],[0.25 0.5  0.25]
Ag1+,Er3+,W6+,[29.24251934],[0.25 0.5  0.25]
Li1+,Ca2+,Pb2+,[29.2141935],[0.25 0.5  0.25]
Ag1+,Ir3+,Ra2+,[29.20259177],[0.25 0.5  0.25]
Na1+,K1+,Tl1+,[29.17510011],[0.25 0.5  0.25]
Be2+,K1+,Pb2+,[29.13818533],[0.25 0.5  0.25]
Ag1+,Sm3+,W6+,[29.13150135],[0.25 0.5  0.25]
Ag1+,Sm3+,Ir3+,[29.12891138],[0.25 0.5  0.25]
Be2+,Na1+,Ac3+,[29.11717837],[0.25 0.5  0.25]
Be2+,Cs1+,Bi3+,[29.11199491],[0.25 0.5  0.25]
Ag1+,Sb3+,W6+,[29.07463181],[0.25 0.5  0.25]
Li1+,Cs1+,Hg1+,[29.05732457],[0.25 0.5  0.25]
Ag1+,Pm3+,Ir3+,[29.02917245],[0.25 0.5  0.25]
Be2+,Al3+,Ba2+,[29.01135845],[0.25 0.5  0.25]
Ag1+,Lu3+,Au3+,[29.00953813],[0.25 0.5  0.25]
Be2+,Cs1+,Ba2+,[28.94941157],[0.25 0.5  0.25]
K1+,Ca2+,Hg1+,[28.93456733],[0.25 0.5  0.25]
Ag1+,Tb3+,W6+,[28.92787642],[0.25 0.5  0.25]
Ag1+,Gd3+,W6+,[28.91250331],[0.25 0.5  0.25]
Ag1+,Os4+,Ra2+,[28.90771944],[0.25 0.5  0.25]
Li1+,Be2+,Pb2+,[28.88795984],[0.25 0.5  0.25]
Ag1+,Dy3+,W6+,[28.86265047],[0.25 0.5  0.25]
Na1+,Ca2+,Pb2+,[28.795257],[0.25 0.5  0.25]
Ag1+,Dy3+,Pt2+,[28.7861132],[0.25 0.5  0.25]
Ca2+,Rb1+,Hg1+,[28.77237138],[0.25 0.5  0.25]
Ag1+,Lu3+,Ir3+,[28.75351183],[0.25 0.5  0.25]
Na1+,Ca2+,Ac3+,[28.71203063],[0.25 0.5  0.25]
Ag1+,Pr3+,Ir3+,[28.70401961],[0.25 0.5  0.25]
Li1+,Be2+,Am3+,[28.6672608],[0.25 0.5  0.25]
Ag1+,Tb3+,Pt2+,[28.65886608],[0.25 0.5  0.25]
Ag1+,Nd3+,Re4+,[28.65377917],[0.25 0.5  0.25]
Ag1+,Eu3+,Au3+,[28.64995362],[0.25 0.5  0.25]
Ag1+,Cd2+,U6+,[28.62831307],[0.25 0.5  0.25]
Li1+,Be2+,Cm3+,[28.62666206],[0.25 0.5  0.25]
Ca2+,Rb1+,Fr1+,[28.62185677],[0.25 0.5  0.25]
Ti4+,Sn2+,Ra2+,[28.60702972],[0.25 0.5  0.25]
Ag1+,Nd3+,U6+,[28.60154149],[0.25 0.5  0.25]
K1+,Ca2+,Th4+,[28.59869305],[0.25 0.5  0.25]
Ag1+,Er3+,Ir3+,[28.58676481],[0.25 0.5  0.25]
K1+,Ca2+,Am3+,[28.55683623],[0.25 0.5  0.25]
Ag1+,Eu3+,Ir3+,[28.52802604],[0.25 0.5  0.25]
Li1+,Ca2+,Ac3+,[28.51478083],[0.25 0.5  0.25]
Ca2+,Zn2+,Fr1+,[28.51302166],[0.25 0.5  0.25]
Li1+,Ca2+,Ra2+,[28.4969074],[0.25 0.5  0.25]
Na1+,Ca2+,Bi3+,[28.49340724],[0.25 0.5  0.25]
Zr4+,Ag1+,Au3+,[28.48072367],[0.25 0.5  0.25]
K1+,Ca2+,Cm3+,[28.46861235],[0.25 0.5  0.25]
Li1+,Ca2+,Th4+,[28.42719235],[0.25 0.5  0.25]
Cu2+,Ag1+,U6+,[28.42356499],[0.25 0.5  0.25]
Ag1+,Ba2+,W6+,[28.40377843],[0.25 0.5  0.25]
Ag1+,Tb3+,Np5+,[28.39393797],[0.25 0.5  0.25]
Ag1+,Gd3+,Np5+,[28.39393797],[0.25 0.5  0.25]
Li1+,Ca2+,Tl1+,[28.34323027],[0.25 0.5  0.25]
Ag1+,Gd3+,Pt2+,[28.32228562],[0.25 0.5  0.25]
Ag1+,Er3+,Pt2+,[28.32189679],[0.25 0.5  0.25]
Li1+,Mg2+,Cm3+,[28.31358394],[0.25 0.5  0.25]
Ag1+,Au3+,Po2+,[28.30514536],[0.25 0.5  0.25]
Ca2+,Sb3+,Fr1+,[28.30487202],[0.25 0.5  0.25]
Li1+,Mg2+,Th4+,[28.30200051],[0.25 0.5  0.25]
Li1+,Mg2+,Ra2+,[28.29710978],[0.25 0.5  0.25]
Ag1+,La3+,Ta5+,[28.29628838],[0.25 0.5  0.25]
Ag1+,Dy3+,Np5+,[28.27617386],[0.25 0.5  0.25]
Li1+,Mg2+,Am3+,[28.26796419],[0.25 0.5  0.25]
Ag1+,W6+,Ra2+,[28.26735306],[0.25 0.5  0.25]
Ag1+,Au3+,Ac3+,[28.26675949],[0.25 0.5  0.25]
Mg2+,K1+,Am3+,[28.25690777],[0.25 0.5  0.25]
Mg2+,Ba2+,Fr1+,[28.24145568],[0.25 0.5  0.25]
Ca2+,Sc3+,Fr1+,[28.23005512],[0.25 0.5  0.25]
Ag1+,Sn2+,U6+,[28.22948024],[0.25 0.5  0.25]
Mg2+,Rb1+,Fr1+,[28.22180533],[0.25 0.5  0.25]
Ag1+,Hf4+,Os4+,[28.17289646],[0.25 0.5  0.25]
Ag1+,Pt2+,Ra2+,[28.15254789],[0.25 0.5  0.25]
Be2+,Rb1+,Hg1+,[28.1152106],[0.25 0.5  0.25]
Li1+,Na1+,Pb2+,[28.1105429],[0.25 0.5  0.25]
K1+,Sc3+,Ag1+,[28.1075675],[0.25 0.5  0.25]
Ag1+,Tb3+,Re4+,[28.09803089],[0.25 0.5  0.25]
Li1+,Be2+,Ra2+,[28.08799503],[0.25 0.5  0.25]
Ag1+,Pm3+,Re4+,[28.08574158],[0.25 0.5  0.25]
Ag1+,Sm3+,Pt2+,[28.07159862],[0.25 0.5  0.25]
Li1+,Na1+,Tl1+,[28.06339225],[0.25 0.5  0.25]
Ag1+,W6+,Fr1+,[28.04829357],[0.25 0.5  0.25]
K1+,Ca2+,Tl1+,[28.01281182],[0.25 0.5  0.25]
Ag1+,Sm3+,Np5+,[28.00901612],[0.25 0.5  0.25]
Ag1+,Ho3+,Os4+,[28.00460736],[0.25 0.5  0.25]
Li1+,Mg2+,Bi3+,[27.99443744],[0.25 0.5  0.25]
Ag1+,Os4+,Ac3+,[27.993346],[0.25 0.5  0.25]
Ag1+,Er3+,Au3+,[27.98705367],[0.25 0.5  0.25]
Ag1+,Pm3+,Pt2+,[27.97622726],[0.25 0.5  0.25]
K1+,Cu2+,Ra2+,[27.96133945],[0.25 0.5  0.25]
Be2+,K1+,Ac3+,[27.95763445],[0.25 0.5  0.25]
Ag1+,Sm3+,Re4+,[27.9570233],[0.25 0.5  0.25]
Al3+,K1+,Po2+,[27.95592507],[0.25 0.5  0.25]
Ag1+,Ra2+,Pa5+,[27.93790123],[0.25 0.5  0.25]
Mg2+,K1+,Cm3+,[27.93539516],[0.25 0.5  0.25]
Ag1+,Tb3+,U6+,[27.93317554],[0.25 0.5  0.25]
Ag1+,Dy3+,Os4+,[27.92782892],[0.25 0.5  0.25]
Ag1+,Tb3+,Os4+,[27.92782892],[0.25 0.5  0.25]
Sr2+,Cs1+,Fr1+,[27.92112798],[0.25 0.5  0.25]
Li1+,Be2+,Ac3+,[27.88280939],[0.25 0.5  0.25]
Ag1+,Dy3+,U6+,[27.83913352],[0.25 0.5  0.25]
Na1+,Ca2+,Po2+,[27.83664943],[0.25 0.5  0.25]
Ag1+,Sb3+,Au3+,[27.82598775],[0.25 0.5  0.25]
Al3+,K1+,Th4+,[27.8185894],[0.25 0.5  0.25]
K1+,Zn2+,Ra2+,[27.7780415],[0.25 0.5  0.25]
Ag1+,Dy3+,Re4+,[27.77423919],[0.25 0.5  0.25]
Ag1+,Lu3+,Os4+,[27.75719061],[0.25 0.5  0.25]
Ag1+,Nd3+,Np5+,[27.75439427],[0.25 0.5  0.25]
Ag1+,Pm3+,Np5+,[27.75439427],[0.25 0.5  0.25]
Ag1+,Nd3+,Pt2+,[27.72168826],[0.25 0.5  0.25]
Ag1+,Hf4+,Ir3+,[27.71393961],[0.25 0.5  0.25]
Ag1+,Os4+,Fr1+,[27.67310147],[0.25 0.5  0.25]
Li1+,K1+,Pb2+,[27.67130432],[0.25 0.5  0.25]
Ag1+,Pr3+,U6+,[27.64789603],[0.25 0.5  0.25]
Ag1+,Eu3+,W6+,[27.64367418],[0.25 0.5  0.25]
Ag1+,Ce3+,Ir3+,[27.64340163],[0.25 0.5  0.25]
Mg2+,K1+,Tl1+,[27.64277868],[0.25 0.5  0.25]
Al3+,K1+,Mn2+,[27.64152179],[0.25 0.5  0.25]
Ag1+,Eu3+,Ta5+,[27.64139258],[0.25 0.5  0.25]
Ca2+,Mn2+,Rb1+,[27.6303831],[0.25 0.5  0.25]
Ag1+,Gd3+,Os4+,[27.60936057],[0.25 0.5  0.25]
Y3+,Sn2+,Ra2+,[27.60583933],[0.25 0.5  0.25]
Ag1+,Gd3+,U6+,[27.58904108],[0.25 0.5  0.25]
Be2+,K1+,Bi3+,[27.57178257],[0.25 0.5  0.25]
Ag1+,Ra2+,U6+,[27.54874458],[0.25 0.5  0.25]
K1+,Ca2+,Ra2+,[27.54621754],[0.25 0.5  0.25]
Ag1+,Nd3+,Pu4+,[27.53771499],[0.25 0.5  0.25]
Ag1+,Ho3+,U6+,[27.53482822],[0.25 0.5  0.25]
Ag1+,La3+,U6+,[27.51274788],[0.25 0.5  0.25]
Mg2+,Ca2+,Cs1+,[27.5079661],[0.25 0.5  0.25]
Ag1+,Cs1+,Hf4+,[27.49989352],[0.25 0.5  0.25]
Ag1+,Er3+,Os4+,[27.49770747],[0.25 0.5  0.25]
Li1+,Be2+,Tb3+,[27.49414445],[0.25 0.5  0.25]
Li1+,Ca2+,Mn2+,[27.47787237],[0.25 0.5  0.25]
Na1+,Ca2+,Tl1+,[27.47242691],[0.25 0.5  0.25]
Y3+,Ag1+,Au3+,[27.47198832],[0.25 0.5  0.25]
Na1+,K1+,Bk3+,[27.46410941],[0.25 0.5  0.25]
Ag1+,Lu3+,Pt2+,[27.4555505],[0.25 0.5  0.25]
Li1+,Be2+,Th4+,[27.44508128],[0.25 0.5  0.25]
Ag1+,Pm3+,U6+,[27.44280711],[0.25 0.5  0.25]
Ag1+,Ho3+,Re4+,[27.42747021],[0.25 0.5  0.25]
Ag1+,In3+,U6+,[27.42261019],[0.25 0.5  0.25]
Ag1+,Pr3+,Pu4+,[27.40899671],[0.25 0.5  0.25]
Al3+,K1+,Ac3+,[27.3970875],[0.25 0.5  0.25]
Ag1+,Tm3+,U6+,[27.37762071],[0.25 0.5  0.25]
Ag1+,Yb3+,Pu4+,[27.35925301],[0.25 0.5  0.25]
Ag1+,Sm3+,U6+,[27.3587735],[0.25 0.5  0.25]
Ag1+,Tm3+,Re4+,[27.34860466],[0.25 0.5  0.25]
Ca2+,Cd2+,Fr1+,[27.34249432],[0.25 0.5  0.25]
Li1+,Na1+,Bk3+,[27.31846561],[0.25 0.5  0.25]
Ag1+,La3+,Ir3+,[27.31413338],[0.25 0.5  0.25]
Ag1+,Lu3+,Re4+,[27.30861304],[0.25 0.5  0.25]
Mg2+,K1+,Bi3+,[27.30345932],[0.25 0.5  0.25]
Ti4+,Ag1+,Au3+,[27.27871755],[0.25 0.5  0.25]
Ag1+,Ba2+,Ta5+,[27.26731111],[0.25 0.5  0.25]
Mg2+,K1+,Ac3+,[27.2667477],[0.25 0.5  0.25]
Na1+,Po2+,Fr1+,[27.2428871],[0.25 0.5  0.25]
Al3+,Ti4+,Ra2+,[27.20384644],[0.25 0.5  0.25]
Ag1+,Ba2+,Hf4+,[27.1875503],[0.25 0.5  0.25]
K1+,Cd2+,Ra2+,[27.17786872],[0.25 0.5  0.25]
Ti4+,Cr3+,Ra2+,[27.14408521],[0.25 0.5  0.25]
Al3+,Ba2+,Eu3+,[27.14395221],[0.25 0.5  0.25]
Ag1+,Pr3+,Ta5+,[27.1394308],[0.25 0.5  0.25]
Ag1+,Sb3+,Os4+,[27.13137279],[0.25 0.5  0.25]
Be2+,Sm3+,Fr1+,[27.1263553],[0.25 0.5  0.25]
Na1+,Rb1+,Pb2+,[27.11551329],[0.25 0.5  0.25]
Ca2+,Sr2+,Ac3+,[27.10499036],[0.25 0.5  0.25]
Be2+,Pm3+,Fr1+,[27.06384382],[0.25 0.5  0.25]
K1+,Ca2+,Bi3+,[27.06284533],[0.25 0.5  0.25]
Ag1+,Cs1+,Hg1+,[27.05518929],[0.25 0.5  0.25]
Ag1+,Pm3+,Pu4+,[27.05176849],[0.25 0.5  0.25]
Ag1+,Yb3+,Np5+,[27.03921205],[0.25 0.5  0.25]
Ag1+,Ba2+,Pt2+,[27.0261822],[0.25 0.5  0.25]
K1+,Ca2+,Pb2+,[27.01923731],[0.25 0.5  0.25]
Be2+,Pb2+,Fr1+,[27.01287875],[0.25 0.5  0.25]
Ag1+,Tm3+,Os4+,[26.99464685],[0.25 0.5  0.25]
Ag1+,Fr1+,U6+,[26.98565196],[0.25 0.5  0.25]
Li1+,Ca2+,Po2+,[26.97633931],[0.25 0.5  0.25]
Mg2+,Rb1+,Cs1+,[26.97303074],[0.25 0.5  0.25]
Be2+,K1+,Th4+,[26.9631537],[0.25 0.5  0.25]
Sc3+,Ag1+,Au3+,[26.95595689],[0.25 0.5  0.25]
Ag1+,Os4+,Po2+,[26.95316215],[0.25 0.5  0.25]
Mg2+,K1+,Po2+,[26.95010613],[0.25 0.5  0.25]
Ag1+,Ce3+,Pu4+,[26.94436765],[0.25 0.5  0.25]
Ag1+,Er3+,Re4+,[26.93481721],[0.25 0.5  0.25]
Be2+,Sc3+,Cs1+,[26.91422155],[0.25 0.5  0.25]
Be2+,Ag1+,Lu3+,[26.91354227],[0.25 0.5  0.25]
Na1+,Cs1+,Hg1+,[26.90396826],[0.25 0.5  0.25]
Be2+,Sc3+,Ba2+,[26.90057607],[0.25 0.5  0.25]
Li1+,Na1+,Ra2+,[26.88564988],[0.25 0.5  0.25]
Li1+,K1+,Bk3+,[26.87838396],[0.25 0.5  0.25]
Li1+,Mg2+,Ac3+,[26.87563065],[0.25 0.5  0.25]
Be2+,Ca2+,Pb2+,[26.87144547],[0.25 0.5  0.25]
Ag1+,Eu3+,Pa5+,[26.86703236],[0.25 0.5  0.25]
Ag1+,Au3+,Np5+,[26.86690755],[0.25 0.5  0.25]
Ag1+,Ir3+,Po2+,[26.86638458],[0.25 0.5  0.25]
Ag1+,Gd3+,Re4+,[26.85813514],[0.25 0.5  0.25]
Li1+,Be2+,Gd3+,[26.84562343],[0.25 0.5  0.25]
Zn2+,Y3+,Ra2+,[26.83520229],[0.25 0.5  0.25]
K1+,Yb3+,Ra2+,[26.82731778],[0.25 0.5  0.25]
Ag1+,Sm3+,Pu4+,[26.8052861],[0.25 0.5  0.25]
Na1+,Ca2+,Ra2+,[26.80473212],[0.25 0.5  0.25]
Ca2+,Mn2+,Fr1+,[26.79824692],[0.25 0.5  0.25]
Ag1+,Ir3+,Ac3+,[26.79475708],[0.25 0.5  0.25]
Be2+,Rb1+,Tl1+,[26.78756618],[0.25 0.5  0.25]
Ag1+,Ba2+,U6+,[26.78550116],[0.25 0.5  0.25]
Li1+,K1+,Tl1+,[26.77661295],[0.25 0.5  0.25]
Ag1+,Tb3+,Pu4+,[26.77195466],[0.25 0.5  0.25]
Be2+,Na1+,Pm3+,[26.76805418],[0.25 0.5  0.25]
Ag1+,Ir3+,Bk3+,[26.71615877],[0.25 0.5  0.25]
Ag1+,Cs1+,Bk3+,[26.71127259],[0.25 0.5  0.25]
Ag1+,Dy3+,Pu4+,[26.70449982],[0.25 0.5  0.25]
Ag1+,Pt2+,U6+,[26.70323744],[0.25 0.5  0.25]
Ca2+,Rb1+,Cm3+,[26.70131066],[0.25 0.5  0.25]
Be2+,Na1+,Nd3+,[26.69230128],[0.25 0.5  0.25]
Ag1+,W6+,Pu4+,[26.6846863],[0.25 0.5  0.25]
Ag1+,Ce3+,Re4+,[26.67689984],[0.25 0.5  0.25]
Ag1+,Ir3+,Fr1+,[26.67341473],[0.25 0.5  0.25]
Be2+,K1+,Ra2+,[26.64671731],[0.25 0.5  0.25]
Na1+,Sb3+,Fr1+,[26.63735649],[0.25 0.5  0.25]
Ag1+,Ba2+,Pa5+,[26.60518778],[0.25 0.5  0.25]
Ag1+,Cd2+,Np5+,[26.59235352],[0.25 0.5  0.25]
Be2+,Ce3+,Fr1+,[26.58729353],[0.25 0.5  0.25]
Be2+,Cs1+,Pb2+,[26.58421836],[0.25 0.5  0.25]
Ag1+,Ce3+,Np5+,[26.57413836],[0.25 0.5  0.25]
Ag1+,Pt2+,Po2+,[26.56541819],[0.25 0.5  0.25]
Ca2+,Gd3+,Fr1+,[26.54593359],[0.25 0.5  0.25]
Y3+,Ag1+,W6+,[26.50537429],[0.25 0.5  0.25]
Ag1+,Gd3+,Pu4+,[26.47170805],[0.25 0.5  0.25]
Ag1+,Te2+,Au3+,[26.4667541],[0.25 0.5  0.25]
Ag1+,Tm3+,Np5+,[26.46244684],[0.25 0.5  0.25]
Ag1+,Ho3+,Np5+,[26.46244684],[0.25 0.5  0.25]
K1+,Tb3+,Fr1+,[26.45985643],[0.25 0.5  0.25]
Ag1+,W6+,Bi3+,[26.45120688],[0.25 0.5  0.25]
Be2+,Na1+,Po2+,[26.44253188],[0.25 0.5  0.25]
Li1+,Na1+,Bi3+,[26.43139438],[0.25 0.5  0.25]
Na1+,Cu2+,Fr1+,[26.42702373],[0.25 0.5  0.25]
Na1+,Dy3+,Fr1+,[26.41582769],[0.25 0.5  0.25]
Ag1+,Ba2+,Re4+,[26.41116239],[0.25 0.5  0.25]
Y3+,In3+,Ra2+,[26.40326125],[0.25 0.5  0.25]
Ca2+,Sc3+,Th4+,[26.4027888],[0.25 0.5  0.25]
Li1+,Cd2+,Ra2+,[26.40183529],[0.25 0.5  0.25]
Li1+,K1+,Ra2+,[26.3808666],[0.25 0.5  0.25]
Ca2+,Rb1+,Ra2+,[26.35510787],[0.25 0.5  0.25]
K1+,Mn2+,Y3+,[26.34856757],[0.25 0.5  0.25]
Ag1+,Os4+,U6+,[26.34696825],[0.25 0.5  0.25]
Rb1+,Ag1+,U6+,[26.34241011],[0.25 0.5  0.25]
Ag1+,Ce3+,Pt2+,[26.33830082],[0.25 0.5  0.25]
Be2+,Nd3+,Fr1+,[26.3366161],[0.25 0.5  0.25]
Y3+,Ag1+,Pu4+,[26.33538573],[0.25 0.5  0.25]
Li1+,Zn2+,Ra2+,[26.31551834],[0.25 0.5  0.25]
Be2+,Rb1+,Bi3+,[26.30510966],[0.25 0.5  0.25]
Ag1+,Ir3+,Hg1+,[26.30471621],[0.25 0.5  0.25]
Mg2+,Mn2+,Rb1+,[26.28936216],[0.25 0.5  0.25]
K1+,Rb1+,Hg1+,[26.28634935],[0.25 0.5  0.25]
Ag1+,Po2+,U6+,[26.28410341],[0.25 0.5  0.25]
Ag1+,Pr3+,Np5+,[26.2634657],[0.25 0.5  0.25]
Zr4+,Ag1+,Ir3+,[26.24471276],[0.25 0.5  0.25]
Ca2+,Rb1+,Ac3+,[26.22003613],[0.25 0.5  0.25]
Li1+,Ca2+,Gd3+,[26.21998861],[0.25 0.5  0.25]
Ag1+,Er3+,U6+,[26.21673659],[0.25 0.5  0.25]
Ag1+,Fr1+,Pa5+,[26.20707757],[0.25 0.5  0.25]
Ag1+,Ir3+,U6+,[26.20122055],[0.25 0.5  0.25]
Ag1+,Ce3+,U6+,[26.19684788],[0.25 0.5  0.25]
Ag1+,Eu3+,Os4+,[26.19316273],[0.25 0.5  0.25]
Na1+,Ba2+,Bi3+,[26.18521163],[0.25 0.5  0.25]
