material1,material2,pred_temp,weights
Sc3+,Ag1+,[23.89291304],[0.6 0.4]
Ag1+,U6+,[22.56447341],[0.6 0.4]
Ag1+,Pu4+,[22.38246753],[0.6 0.4]
Be2+,Al3+,[21.65588134],[0.6 0.4]
Ca2+,Rb1+,[20.91985933],[0.6 0.4]
Ca2+,Fr1+,[20.88360072],[0.6 0.4]
Ti4+,Rb1+,[20.75003834],[0.6 0.4]
Sc3+,Rb1+,[20.64774669],[0.6 0.4]
Sc3+,Fr1+,[20.59543949],[0.6 0.4]
Na1+,Fr1+,[20.51588466],[0.6 0.4]
Li1+,K1+,[20.3300916],[0.6 0.4]
Y3+,Cs1+,[20.20880094],[0.6 0.4]
Al3+,Te2+,[20.16021649],[0.6 0.4]
Rb1+,Cs1+,[20.10802777],[0.6 0.4]
Li1+,Ca2+,[20.07294522],[0.6 0.4]
Ca2+,Sr2+,[19.9161118],[0.6 0.4]
Mg2+,Sr2+,[19.91392565],[0.6 0.4]
Si4+,Ga3+,[19.91004265],[0.6 0.4]
Al3+,Sb3+,[19.90099203],[0.6 0.4]
Li1+,Al3+,[19.87285122],[0.6 0.4]
Li1+,Na1+,[19.82394656],[0.6 0.4]
Rb1+,Fr1+,[19.76852946],[0.6 0.4]
Na1+,Ra2+,[19.70636922],[0.6 0.4]
K1+,Fr1+,[19.6773125],[0.6 0.4]
Ti4+,Ag1+,[19.65481848],[0.6 0.4]
Na1+,K1+,[19.65310139],[0.6 0.4]
Sr2+,Cs1+,[19.62879825],[0.6 0.4]
K1+,Rb1+,[19.61797297],[0.6 0.4]
Sr2+,Fr1+,[19.59096538],[0.6 0.4]
Al3+,Ga3+,[19.5185453],[0.6 0.4]
Na1+,Ca2+,[19.51438369],[0.6 0.4]
Ba2+,Fr1+,[19.46216389],[0.6 0.4]
K1+,Cs1+,[19.45364162],[0.6 0.4]
Be2+,Ga3+,[19.39485728],[0.6 0.4]
Na1+,Sr2+,[19.38798815],[0.6 0.4]
Na1+,Rb1+,[19.38387617],[0.6 0.4]
Sc3+,Y3+,[19.3671642],[0.6 0.4]
K1+,Ba2+,[19.28366488],[0.6 0.4]
