material1,material2,pred_temp,weights
C2+,O2-,[56.82824773],[0.5 0.5]
C1+,O1-,[56.82824773],[0.5 0.5]
O2+,C2-,[56.82824773],[0.5 0.5]
O1+,N3-,[56.78504763],[0.75 0.25]
N3+,O1-,[56.78504763],[0.25 0.75]
Br7+,F1-,[56.76690851],[0.125 0.875]
N2+,N1-,[56.64949512],[0.33333333 0.66666667]
N1+,N2-,[56.64949512],[0.66666667 0.33333333]
Br5+,F1-,[56.63611457],[0.16666667 0.83333333]
B2+,F1-,[56.62719362],[0.33333333 0.66666667]
N3+,N1-,[56.60823462],[0.25 0.75]
N1+,N3-,[56.60823462],[0.75 0.25]
Cu2+,N1-,[56.49687048],[0.33333333 0.66666667]
N1+,F1-,[56.46975724],[0.5 0.5]
B3+,F1-,[56.39050687],[0.25 0.75]
N5+,N1-,[56.37595171],[0.16666667 0.83333333]
N1+,O2-,[56.33166908],[0.66666667 0.33333333]
O2+,N1-,[56.33166908],[0.33333333 0.66666667]
N4+,N1-,[56.32182005],[0.2 0.8]
Cl4+,F1-,[56.30200323],[0.2 0.8]
Cl5+,F1-,[56.28324972],[0.16666667 0.83333333]
C4+,F1-,[56.20717385],[0.2 0.8]
Cl7+,F1-,[56.20066202],[0.125 0.875]
Cl6+,F1-,[56.18050791],[0.14285714 0.85714286]
P3+,F1-,[56.13091571],[0.25 0.75]
C1+,N3-,[56.06635852],[0.75 0.25]
N3+,C1-,[56.06635852],[0.25 0.75]
N2+,H1-,[56.05781163],[0.33333333 0.66666667]
H1+,N2-,[56.05781163],[0.66666667 0.33333333]
N5+,H1-,[56.03138626],[0.16666667 0.83333333]
N4+,H1-,[56.03138626],[0.2 0.8]
N3+,H1-,[55.99527662],[0.25 0.75]
H1+,N3-,[55.99527662],[0.75 0.25]
Br4+,F1-,[55.9820329],[0.2 0.8]
N1+,H1-,[55.94783264],[0.5 0.5]
H1+,N1-,[55.94783264],[0.5 0.5]
N4+,C1-,[55.7765686],[0.2 0.8]
H1+,O2-,[55.57005425],[0.66666667 0.33333333]
O2+,H1-,[55.57005425],[0.33333333 0.66666667]
Cl2+,O0.333-,[55.52612242],[0.14273468 0.85726532]
Cl2+,F1-,[55.48818205],[0.33333333 0.66666667]
Cl3+,O0.5-,[55.44362767],[0.14285714 0.85714286]
Cl3+,F1-,[55.39181544],[0.25 0.75]
H1+,H1-,[55.37826153],[0.5 0.5]
Cl5+,O1-,[55.24136684],[0.16666667 0.83333333]
S5+,F1-,[55.19579767],[0.16666667 0.83333333]
N5+,C2-,[55.1908269],[0.28571429 0.71428571]
N4+,F1-,[55.18604105],[0.2 0.8]
Cl6+,O1-,[55.1465349],[0.14285714 0.85714286]
Cl4+,O0.5-,[55.0947183],[0.11111111 0.88888889]
S6+,F1-,[55.05841672],[0.14285714 0.85714286]
Br3+,F1-,[54.91119262],[0.25 0.75]
N5+,C1-,[54.89765263],[0.16666667 0.83333333]
Cl7+,O1-,[54.89706665],[0.125 0.875]
Cl7+,O2-,[54.80993608],[0.22222222 0.77777778]
Cl2+,O0.5-,[54.78652208],[0.2 0.8]
N5+,C3-,[54.73535777],[0.375 0.625]
Cl4+,O1-,[54.64332062],[0.2 0.8]
N3+,F1-,[54.62033518],[0.25 0.75]
N4+,C4-,[54.6174366],[0.5 0.5]
S4+,F1-,[54.60595597],[0.2 0.8]
N5+,C4-,[54.60162428],[0.44444444 0.55555556]
C3+,F1-,[54.5885975],[0.25 0.75]
Cl2+,O1-,[54.54126441],[0.33333333 0.66666667]
Cl1+,O0.5-,[54.54126441],[0.33333333 0.66666667]
O0.5+,Cl1-,[54.54126441],[0.66666667 0.33333333]
Ag2+,B3-,[54.44168562],[0.6 0.4]
N2+,F1-,[54.39370303],[0.33333333 0.66666667]
N4+,C2-,[54.37465644],[0.33333333 0.66666667]
Cl1+,O0.333-,[54.33828031],[0.24981245 0.75018755]
O0.333+,Cl1-,[54.33828031],[0.75018755 0.24981245]
N2+,C1-,[54.27222646],[0.33333333 0.66666667]
C1+,N2-,[54.27222646],[0.66666667 0.33333333]
Cl6+,O2-,[54.25047055],[0.25 0.75]
C4+,N3-,[53.96229589],[0.42857143 0.57142857]
N3+,C4-,[53.96229589],[0.57142857 0.42857143]
C3+,N3-,[53.920069],[0.5 0.5]
N3+,C3-,[53.920069],[0.5 0.5]
Cl3+,O1-,[53.91215939],[0.25 0.75]
N4+,C3-,[53.88469085],[0.42857143 0.57142857]
C1+,N1-,[53.75015163],[0.5 0.5]
N1+,C1-,[53.75015163],[0.5 0.5]
S3+,F1-,[53.74792999],[0.25 0.75]
C2+,N3-,[53.74118805],[0.6 0.4]
N3+,C2-,[53.74118805],[0.4 0.6]
N2+,C2-,[53.71494155],[0.5 0.5]
C2+,N2-,[53.71494155],[0.5 0.5]
Br3+,O0.5-,[53.69292825],[0.14285714 0.85714286]
Cl4+,O2-,[53.68737105],[0.33333333 0.66666667]
Cl7+,N1-,[53.64746488],[0.125 0.875]
Cl5+,O2-,[53.5843854],[0.28571429 0.71428571]
N2+,C4-,[53.48808917],[0.66666667 0.33333333]
C4+,N2-,[53.48808917],[0.33333333 0.66666667]
Br5+,O1-,[53.48559933],[0.16666667 0.83333333]
C3+,N2-,[53.41200037],[0.4 0.6]
N2+,C3-,[53.41200037],[0.6 0.4]
N1+,C2-,[53.3856592],[0.66666667 0.33333333]
C2+,N1-,[53.3856592],[0.33333333 0.66666667]
Br4+,O1-,[53.33059233],[0.2 0.8]
N1+,C3-,[53.21776524],[0.75 0.25]
C3+,N1-,[53.21776524],[0.25 0.75]
C1+,H1-,[53.18728826],[0.5 0.5]
H1+,C1-,[53.18728826],[0.5 0.5]
Cl5+,O0.5-,[53.12589477],[0.09090909 0.90909091]
Cl6+,N1-,[53.11954522],[0.14285714 0.85714286]
Br7+,O2-,[53.0885402],[0.22222222 0.77777778]
N1+,C4-,[53.02090089],[0.8 0.2]
C4+,N1-,[53.02090089],[0.2 0.8]
O0.333+,Br1-,[52.98126994],[0.75018755 0.24981245]
Br1+,O0.333-,[52.98126994],[0.24981245 0.75018755]
Cl7+,O0.333-,[52.92577432],[0.04541116 0.95458884]
O0.5+,Br1-,[52.90970009],[0.66666667 0.33333333]
Br1+,O0.5-,[52.90970009],[0.33333333 0.66666667]
Cl3+,O0.333-,[52.78372983],[0.09990999 0.90009001]
Cl6+,O0.333-,[52.68496087],[0.05258171 0.94741829]
Cl7+,N2-,[52.62331261],[0.22222222 0.77777778]
