material1,material2,material3,pred_temp,weights
Ag1+,Er3+,Au3+,[27.60905498],[0.25 0.25 0.5 ]
Ag1+,Pt2+,Ac3+,[27.60680056],[0.25 0.25 0.5 ]
Li1+,Be2+,Ra2+,[27.60559695],[0.25 0.25 0.5 ]
Be2+,Cs1+,Pr3+,[27.60235766],[0.25 0.25 0.5 ]
Ca2+,Ag1+,Am3+,[27.53251602],[0.25 0.25 0.5 ]
Na1+,Ba2+,Po2+,[27.53021829],[0.25 0.25 0.5 ]
Ag1+,Nd3+,Ir3+,[27.50373068],[0.25 0.25 0.5 ]
Be2+,Cs1+,Ba2+,[27.49918026],[0.25 0.25 0.5 ]
K1+,Ag1+,U6+,[27.47900965],[0.25 0.25 0.5 ]
Ag1+,Ba2+,Ir3+,[27.45651914],[0.25 0.25 0.5 ]
Be2+,Rb1+,Gd3+,[27.43801469],[0.25 0.25 0.5 ]
Be2+,Cs1+,Bi3+,[27.42797942],[0.25 0.25 0.5 ]
Be2+,Rb1+,Sm3+,[27.42323804],[0.25 0.25 0.5 ]
Ag1+,Ir3+,Bi3+,[27.40663287],[0.25 0.25 0.5 ]
Ag1+,Au3+,Ac3+,[27.40144722],[0.25 0.25 0.5 ]
K1+,Ag1+,Hf4+,[27.3959952],[0.25 0.25 0.5 ]
Ag1+,Eu3+,Au3+,[27.3639916],[0.25 0.25 0.5 ]
Ag1+,W6+,Bi3+,[27.36261932],[0.25 0.25 0.5 ]
Ag1+,Tm3+,Os4+,[27.3537247],[0.25 0.25 0.5 ]
Be2+,K1+,Hg1+,[27.35247887],[0.25 0.25 0.5 ]
Zr4+,Ag1+,Ir3+,[27.34520948],[0.25 0.25 0.5 ]
Na1+,Cs1+,Hg1+,[27.32801147],[0.25 0.25 0.5 ]
Ag1+,Ho3+,Os4+,[27.32521708],[0.25 0.25 0.5 ]
Mn2+,Ag1+,Au3+,[27.31176689],[0.25 0.25 0.5 ]
Li1+,Be2+,Hg1+,[27.28504469],[0.25 0.25 0.5 ]
Ag1+,Ba2+,Os4+,[27.28201656],[0.25 0.25 0.5 ]
Ag1+,Pr3+,Au3+,[27.27827096],[0.25 0.25 0.5 ]
Ag1+,Te2+,Au3+,[27.27675721],[0.25 0.25 0.5 ]
Li1+,Al3+,Hg1+,[27.27377317],[0.25 0.25 0.5 ]
Ti4+,Ag1+,Pt2+,[27.2631559],[0.25 0.25 0.5 ]
Ag1+,Hf4+,Ir3+,[27.25814896],[0.25 0.25 0.5 ]
Ag1+,Au3+,Bi3+,[27.23741426],[0.25 0.25 0.5 ]
Ti4+,Ag1+,Ir3+,[27.22438202],[0.25 0.25 0.5 ]
Ag1+,Sb3+,Au3+,[27.20217486],[0.25 0.25 0.5 ]
Be2+,Cs1+,Ac3+,[27.20198347],[0.25 0.25 0.5 ]
Ag1+,Ir3+,Ac3+,[27.18318419],[0.25 0.25 0.5 ]
