number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,material
1,12.011,12.011,12.010999999999997,12.011,0.0,0.0,0.0,0.0,0.0,0.0,1086.5,1086.5,1086.4999999999998,1086.5,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,66.99999999999997,67.0,0.0,0.0,0.0,0.0,0.0,0.0,2260.0,2260.0,2259.999999999999,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,121.77,121.77,121.76999999999998,121.77,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,104.99999999999997,105.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,139.99999999999994,140.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,C1+
1,14.007,14.007,14.006999999999998,14.007,0.0,0.0,0.0,0.0,0.0,0.0,1402.3,1402.3,1402.3000000000002,1402.3,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.00000000000002,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1649,1.1649,1.1649,1.1649,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.999999999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.02583,0.02583,0.025829999999999995,0.02583,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.999999999999999,5.0,0.0,0.0,0.0,0.0,0.0,0.0,N5+
1,14.007,14.007,14.006999999999998,14.007,0.0,0.0,0.0,0.0,0.0,0.0,1402.3,1402.3,1402.3000000000002,1402.3,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.00000000000002,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1649,1.1649,1.1649,1.1649,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.999999999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.02583,0.02583,0.025829999999999995,0.02583,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,N4+
1,14.007,14.007,14.006999999999998,14.007,0.0,0.0,0.0,0.0,0.0,0.0,1402.3,1402.3,1402.3000000000002,1402.3,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.00000000000002,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1649,1.1649,1.1649,1.1649,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.999999999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.02583,0.02583,0.025829999999999995,0.02583,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0000000000000004,3.0,0.0,0.0,0.0,0.0,0.0,0.0,N3+
1,14.007,14.007,14.006999999999998,14.007,0.0,0.0,0.0,0.0,0.0,0.0,1402.3,1402.3,1402.3000000000002,1402.3,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.00000000000002,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1649,1.1649,1.1649,1.1649,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.999999999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.02583,0.02583,0.025829999999999995,0.02583,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,N2+
1,14.007,14.007,14.006999999999998,14.007,0.0,0.0,0.0,0.0,0.0,0.0,1402.3,1402.3,1402.3000000000002,1402.3,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.00000000000002,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1649,1.1649,1.1649,1.1649,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.999999999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.02583,0.02583,0.025829999999999995,0.02583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N1+
1,15.999,15.999,15.998999999999999,15.999,0.0,0.0,0.0,0.0,0.0,0.0,1313.9,1313.9,1313.8999999999996,1313.9,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.00000000000001,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42897,1.42897,1.42897,1.42897,0.0,0.0,0.0,0.0,0.0,0.0,141.0,141.0,141.00000000000003,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.222,0.22200000000000003,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.02658,0.02658,0.026579999999999996,0.02658,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,O2+
1,15.999,15.999,15.998999999999999,15.999,0.0,0.0,0.0,0.0,0.0,0.0,1313.9,1313.9,1313.8999999999996,1313.9,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.00000000000001,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42897,1.42897,1.42897,1.42897,0.0,0.0,0.0,0.0,0.0,0.0,141.0,141.0,141.00000000000003,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.222,0.22200000000000003,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.02658,0.02658,0.026579999999999996,0.02658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,O1+
1,15.999,15.999,15.998999999999999,15.999,0.0,0.0,0.0,0.0,0.0,0.0,1313.9,1313.9,1313.8999999999996,1313.9,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.00000000000001,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42897,1.42897,1.42897,1.42897,0.0,0.0,0.0,0.0,0.0,0.0,141.0,141.0,141.00000000000003,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.222,0.22200000000000003,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.02658,0.02658,0.026579999999999996,0.02658,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,O0.5+
1,15.999,15.999,15.998999999999999,15.999,0.0,0.0,0.0,0.0,0.0,0.0,1313.9,1313.9,1313.8999999999996,1313.9,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.00000000000001,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42897,1.42897,1.42897,1.42897,0.0,0.0,0.0,0.0,0.0,0.0,141.0,141.0,141.00000000000003,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.222,0.22200000000000003,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.02658,0.02658,0.026579999999999996,0.02658,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,O0.333+
1,22.989,22.989,22.989,22.989,0.0,0.0,0.0,0.0,0.0,0.0,495.8,495.8,495.79999999999995,495.8,0.0,0.0,0.0,0.0,0.0,0.0,190.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,968.0,968.0,967.9999999999997,968.0,0.0,0.0,0.0,0.0,0.0,0.0,52.8,52.8,52.800000000000004,52.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,2.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,139.99999999999994,140.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Na1+
1,24.305,24.305,24.304999999999996,24.305,0.0,0.0,0.0,0.0,0.0,0.0,737.7,737.7,737.7000000000004,737.7,0.0,0.0,0.0,0.0,0.0,0.0,145.0,145.0,144.99999999999997,145.0,0.0,0.0,0.0,0.0,0.0,0.0,1738.0,1738.0,1738.0000000000005,1738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,8.7,8.7,8.699999999999998,8.7,0.0,0.0,0.0,0.0,0.0,0.0,160.0,160.0,159.99999999999994,160.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg2+
1,24.305,24.305,24.304999999999996,24.305,0.0,0.0,0.0,0.0,0.0,0.0,737.7,737.7,737.7000000000004,737.7,0.0,0.0,0.0,0.0,0.0,0.0,145.0,145.0,144.99999999999997,145.0,0.0,0.0,0.0,0.0,0.0,0.0,1738.0,1738.0,1738.0000000000005,1738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,8.7,8.7,8.699999999999998,8.7,0.0,0.0,0.0,0.0,0.0,0.0,160.0,160.0,159.99999999999994,160.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mg1+
